dac_trung,loai,pearson,hang_pearson,spearman,hang_spearman,spearman_trong_cap,hang_spearman_trong_cap,thong_tin_tuong_ho,hang_thong_tin_tuong_ho,kiem_dinh_f,hang_kiem_dinh_f,rung_ngau_nhien,hang_rung_ngau_nhien,hoan_vi,hang_hoan_vi,hang_dong_thuan,bat_dong,ghi_chu
promo_budget,biết trước kỳ,0.0534,25,0.1005,49,0.0267,60,0.3734,20,99.9975,26,0.0001,15,0.0005,11,24.33,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_received_qty,biết sau kỳ,0.1028,17,0.2757,18,0.301,14,0.2045,31,483.9405,15,0.0,47,0.0001,23,25.17,32,—
adjusted_sales_rate,nhãn viết cách khác,0.0819,22,0.2426,23,,,0.2155,28,257.7781,22,0.0,36,0.0001,25,26.0,14,—
dlv_shipped_qty,biết sau kỳ,0.101,19,0.2501,22,0.2708,16,0.1944,32,454.9541,17,0.0,49,0.0002,21,26.67,32,—
first_purchase_day,biết sau kỳ,-0.0374,33,-0.2045,25,-0.2228,18,0.0862,46,69.7795,29,0.0001,22,0.0013,8,27.17,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_day_weighted_discount_pct,biết trước kỳ,-0.0397,29,0.1544,36,0.055,51,0.4445,16,57.3543,34,0.0001,16,0.0,34,27.5,20,—
inv_delivered_revenue,biết sau kỳ,0.1159,14,0.1069,47,0.0982,36,0.2122,29,518.527,14,0.0001,28,0.0,38,28.33,33,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
inv_line_count,biết sau kỳ,0.1041,15,0.1323,42,0.2054,21,0.1156,41,445.138,18,0.0005,9,0.0,47,28.67,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
line_status_count,biết sau kỳ,0.0796,23,0.2664,20,0.2915,15,0.0621,51,266.1643,21,0.0001,26,0.0,36,29.5,31,—
inv_order_count,biết sau kỳ,0.1041,16,0.1323,43,0.2054,22,0.117,40,445.138,19,0.0001,21,0.0,40,29.83,27,—
promo_max_discount_pct,biết trước kỳ,-0.0156,41,0.1531,37,0.0582,47,0.3577,21,9.052,43,0.0001,30,-0.0003,15,31.17,28,—
has_visit_data,biết sau kỳ,-0.0686,24,-0.1549,35,,,0.0339,57,198.847,23,0.0,52,0.0002,17,34.67,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_day_ratio,biết trước kỳ,0.0259,37,0.1723,31,0.055,50,0.2393,27,19.363,41,0.0,46,-0.0001,29,35.17,19,—
promo_count,biết trước kỳ,0.0325,35,0.1867,26,0.0506,54,0.0687,49,31.2533,36,0.0,40,-0.0001,26,35.33,23,—
avg_unit_price,biết sau kỳ,-0.0021,68,-0.3952,10,-0.0638,46,1.1606,8,0.1275,73,0.0001,24,0.0001,30,35.5,65,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_unit_price_excl_vat,biết sau kỳ,-0.0019,69,-0.3952,11,-0.0643,45,1.1599,9,0.1083,74,0.0001,19,0.0,33,35.83,65,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
last_purchase_day,biết sau kỳ,0.0352,34,0.166,33,0.18,23,0.0763,47,61.6212,32,0.0001,17,-0.0,65,38.0,48,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
unit_price_stddev,biết sau kỳ,-0.0028,60,0.2569,21,0.2123,20,0.3241,23,0.4655,58,0.0,43,0.0,32,39.5,39,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_days,biết trước kỳ,0.026,36,0.1739,30,0.0564,49,0.1644,37,19.7725,40,0.0,51,-0.0,51,40.83,21,—
dlv_shipper_count,biết sau kỳ,0.0508,27,0.1095,46,0.1619,24,0.015,68,113.3981,25,0.0,58,0.0001,24,41.33,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
remaining_warehouse_count,biết sau kỳ,0.0428,28,0.1553,34,0.1502,29,0.0203,62,84.2062,27,0.0,56,0.0,43,41.67,35,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
net_weight,biết trước kỳ,-0.0048,55,-0.2179,24,0.0044,73,0.8056,12,0.3141,62,0.0,45,0.0,61,43.17,50,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_line_count,biết sau kỳ,0.0523,26,0.1435,41,0.215,19,0.033,58,122.9367,24,0.0,61,0.0,54,44.0,37,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
free_line_count,biết sau kỳ,0.0384,31,0.146,39,0.0663,44,0.0698,48,60.2878,33,0.0,63,0.0,57,45.17,32,—
discount_excl_vat,biết sau kỳ,0.0027,62,-0.0296,64,0.1512,28,0.4549,15,0.0696,76,0.0,37,-0.0002,18,45.33,61,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
order_type_count,biết sau kỳ,0.0383,32,0.1471,38,0.1413,30,0.016,67,62.2544,31,0.0,41,0.0,63,45.33,36,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
discount_rate,biết sau kỳ,-0.0077,49,-0.0613,52,0.0514,53,0.833,11,3.2349,47,0.0,68,-0.0,49,46.0,57,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
order_source_count,biết sau kỳ,0.0386,30,0.1456,40,0.1392,31,0.0164,65,66.4307,30,0.0,57,0.0,60,47.0,35,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_forecast_qty,biết trước kỳ,0.0075,50,0.0661,50,-0.0412,57,0.1856,33,2.8499,49,0.0,62,0.0,42,47.67,29,—
avg_tmax,biết trước kỳ,0.0029,59,0.0228,69,0.0995,34,0.1801,34,0.8302,55,0.0001,25,-0.0,46,48.0,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
discount_amount,biết sau kỳ,0.003,58,-0.0567,56,0.1313,32,0.7435,13,0.0888,75,0.0,44,0.0,45,48.5,62,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_vat_rate,biết sau kỳ,0.0058,53,0.1778,27,0.0867,37,0.119,39,2.3229,52,0.0,50,0.0,75,49.33,48,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
peak_tmax,biết trước kỳ,-0.0035,57,0.0578,55,0.0986,35,0.1087,42,0.0027,81,0.0,34,-0.0001,27,49.33,54,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_tmin,biết trước kỳ,0.001,75,0.0605,53,0.1123,33,0.174,36,0.3,64,0.0,32,0.0,41,50.17,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
total_rainfall,biết trước kỳ,-0.0008,76,0.0146,74,0.0548,52,0.1759,35,0.8283,56,0.0001,29,0.0,35,50.83,47,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
visit_days,biết sau kỳ,-0.0128,42,-0.0319,63,-0.0055,71,0.0269,60,8.601,44,0.0,59,0.0,44,52.0,21,—
months_since_first_purchase,biết trước kỳ,0.0095,47,0.0055,79,-0.0252,61,0.0253,61,2.5413,51,0.0,38,-0.0,39,52.5,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
shelf_life,biết trước kỳ,0.0062,52,0.1114,45,,,0.1051,43,2.1385,53,0.0,67,0.0,62,53.67,24,—
discount_pct_stddev,biết sau kỳ,0.0044,56,0.1041,48,0.1557,25,0.0406,55,0.5876,57,0.0,53,0.0,55,54.0,9,—
avg_days_to_delivery,biết sau kỳ,0.0091,48,-0.0131,76,0.0414,56,0.0161,66,5.6609,46,0.0,55,-0.0,37,54.67,39,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_has_free_goods,biết trước kỳ,-0.0019,70,0.172,32,0.0773,39,0.097,45,0.3941,59,0.0,73,0.0,52,55.17,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
freezer_count,biết trước kỳ,-0.0255,38,-0.0603,54,,,0.031,59,33.2317,35,0.0,79,0.0,72,56.17,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_warehouse_confirmed_lines,biết sau kỳ,0.0172,40,0.0521,57,0.0782,38,0.0111,70,13.9529,42,0.0,75,0.0,69,58.83,35,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_work_minutes,biết sau kỳ,-0.0021,66,0.0466,58,0.0229,63,0.0657,50,0.2934,65,0.0,48,-0.0,71,59.67,23,—
promo_has_price_cut,biết trước kỳ,0.0121,43,-0.0045,81,-0.0035,74,0.0118,69,3.0125,48,0.0,69,0.0,50,60.0,38,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
issuing_warehouse_count,biết sau kỳ,0.0179,39,0.0384,61,0.0218,65,0.0,81,21.6608,39,0.0,74,0.0,68,60.33,42,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
visiting_rep_count,biết sau kỳ,-0.007,51,0.0054,80,0.0239,62,0.008,73,2.6547,50,0.0,64,0.0,48,61.0,32,—
avg_travel_km,biết sau kỳ,-0.0024,63,0.0618,51,0.027,59,0.0532,53,0.3481,60,0.0,76,-0.0,67,61.67,25,—
working_days,biết trước kỳ,-0.0004,77,-0.0173,71,-0.0281,58,0.0168,64,0.2273,67,0.0001,18,0.0,80,62.83,62,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
rain_days,biết trước kỳ,-0.0004,78,0.0108,77,0.0569,48,0.0607,52,0.0519,77,0.0,35,-0.0,58,62.83,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
planned_visit_days,biết trước kỳ,-0.0021,67,0.0411,59,0.0097,69,0.0181,63,0.2856,66,0.0,71,-0.0,56,63.67,15,—
has_stock_data,biết sau kỳ,-0.0012,71,0.026,65,0.0741,40,0.0103,71,0.201,68,0.0,33,-0.0,76,64.0,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
visit_compliance_rate,biết sau kỳ,0.0049,54,-0.0003,82,-0.0072,70,0.005,76,1.3001,54,0.0,60,0.0,59,64.17,28,—
promo_has_gift,biết trước kỳ,0.0022,65,0.039,60,0.0227,64,0.0354,56,0.1692,71,0.0,70,-0.0,64,64.33,15,—
avg_travel_minutes,biết sau kỳ,-0.0024,64,0.0354,62,-0.0483,55,0.0511,54,0.3013,63,0.0,77,-0.0,73,65.5,23,—
in_stock_days,biết sau kỳ,-0.0011,73,0.0259,67,0.074,42,0.0089,72,0.1914,70,0.0,72,-0.0,70,70.67,6,—
stock_tracked_days,biết sau kỳ,-0.0012,72,0.026,66,0.074,41,0.0065,74,0.1973,69,0.0,66,0.0,78,70.83,12,—
calendar_days,biết trước kỳ,-0.0004,79,0.0224,70,0.005,72,0.0065,75,0.1405,72,0.0,54,0.0,79,71.5,25,—
has_promo_data,biết trước kỳ,0.0027,61,0.0247,68,,,0.0013,80,0.3375,61,0.0,82,0.0,82,72.33,21,—
avg_delivery_sla_days,biết sau kỳ,-0.0003,80,0.0144,75,0.0145,68,0.0049,77,0.0063,79,0.0,65,-0.0,66,73.67,15,—
stockout_days,biết sau kỳ,-0.001,74,0.0166,72,0.0152,67,0.0035,79,0.0513,78,0.0,80,0.0,77,76.67,8,—
dlv_avg_attempts,biết sau kỳ,-0.0,82,0.015,73,0.0205,66,0.0,82,0.0008,82,0.0,78,-0.0,74,78.5,9,—
admin_canceled_line_count,biết sau kỳ,-0.0002,81,-0.0059,78,0.003,76,0.0039,78,0.0036,80,0.0,81,0.0,81,79.83,3,—
