bang,cot,kieu,nhom,vai_tro,khuyet_pct,so_gia_tri_khac_nhau,min,p25,trung_vi,p75,p99,max,do_lech_bowley,ty_so_duoi_p99_p50,xu_ly_khuyet,bien_doi,ma_hoa,cach_ma_hoa,chan_ngoai_lai
dim_categories,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_categories,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_chains,chain_code,character varying,văn bản / phân loại,khoá của dòng — không dùng làm đặc trưng,0.0,9638,3.0,,,,,13.0,,,không có khuyết thiếu,—,—,—,—
dim_chains,chain_name,character varying,văn bản / phân loại,khoá của dòng — không dùng làm đặc trưng,0.0,9603,2.0,,,,,93.0,,,không có khuyết thiếu,—,—,—,—
dim_chains,is_active,boolean,nhị phân,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_chains,source_system,character varying,văn bản / phân loại,BỎ — hằng số,99.585,1,3.0,,,,,3.0,,,"khuyết 99.585% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_chains,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,9638,32.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_chains,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,9638,1.0,2410.25,4819.5,7228.75,9570.63,9699.0,0.0,1.99,không có khuyết thiếu,—,—,—,—
dim_chains,source_refs,jsonb,jsonb,BỎ — rỗng hoàn toàn,100.0,,,,,,,,,,bỏ cột,—,—,—,—
dim_chains,batch_id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,155,16.0,16.0,16.0,16.0,216070.0,241709.0,,13504.38,không có khuyết thiếu,—,—,—,—
dim_chains,valid_from,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,155,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_chains,valid_to,timestamp with time zone,thời gian,BỎ — rỗng hoàn toàn,100.0,0,,,,,,,,,bỏ cột,—,—,—,—
dim_chains,is_current,boolean,nhị phân,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_chains,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,155,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_chains,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,155,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_dates,date_key,integer,số liên tục,khoá của dòng — không dùng làm đặc trưng,0.0,4018,20200101.0,20221001.25,20250701.5,20280383.5,20301120.83,20301231.0,-0.0003,1.0,không có khuyết thiếu,—,—,—,—
dim_dates,full_date,date,thời gian,khoá của dòng — không dùng làm đặc trưng,0.0,4018,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_dates,day,integer,số liên tục,đặc trưng,0.0,31,1.0,8.0,16.0,23.0,31.0,31.0,-0.0667,1.94,không có khuyết thiếu,chuẩn hoá z,—,—,chặn trên IQR = 45.5; không có giá trị vượt
dim_dates,month,integer,số rời rạc,đặc trưng,0.0,12,1.0,4.0,7.0,10.0,12.0,12.0,0.0,1.71,không có khuyết thiếu,chuẩn hoá z,one-hot (12 nhóm),one-hot,chặn trên IQR = 19.0; không có giá trị vượt
dim_dates,year,integer,số rời rạc,đặc trưng,0.0,11,2020.0,2022.0,2025.0,2028.0,2030.0,2030.0,0.0,1.0,không có khuyết thiếu,chuẩn hoá z,one-hot (11 nhóm),one-hot,chặn trên IQR = 2037.0; không có giá trị vượt
dim_dates,quarter,integer,số rời rạc,đặc trưng,0.0,4,1.0,2.0,3.0,4.0,4.0,4.0,0.0,1.33,không có khuyết thiếu,chuẩn hoá z,one-hot (4 nhóm),one-hot,chặn trên IQR = 7.0; không có giá trị vượt
dim_dates,week,integer,số liên tục,đặc trưng,0.0,53,1.0,14.0,27.0,40.0,52.0,53.0,0.0,1.93,không có khuyết thiếu,chuẩn hoá z,—,—,chặn trên IQR = 79.0; không có giá trị vượt
dim_dates,fiscal_year,integer,số rời rạc,đặc trưng,0.0,11,2020.0,2022.0,2025.0,2028.0,2030.0,2030.0,0.0,1.0,không có khuyết thiếu,chuẩn hoá z,one-hot (11 nhóm),one-hot,chặn trên IQR = 2037.0; không có giá trị vượt
dim_dates,is_working_day,boolean,nhị phân,đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,nhị phân 0/1,nhị phân 0/1,—
dim_dates,is_weekend,boolean,nhị phân,đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,nhị phân 0/1,nhị phân 0/1,—
dim_dates,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,4018,1.0,1005.25,2009.5,3013.75,3977.83,4018.0,0.0,1.98,không có khuyết thiếu,—,—,—,—
dim_dates,source_refs,jsonb,jsonb,BỎ — rỗng hoàn toàn,100.0,,,,,,,,,,bỏ cột,—,—,—,—
dim_dates,batch_id,bigint,số rời rạc,BỎ — rỗng hoàn toàn,100.0,0,,,,,,,,,bỏ cột,—,—,—,—
dim_dates,created_at,timestamp with time zone,thời gian,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_dates,updated_at,timestamp with time zone,thời gian,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_delivery_status,note_status,character varying,văn bản / phân loại,đặc trưng,0.0,9,3.0,,,,,18.0,,,không có khuyết thiếu,—,one-hot (9 nhóm),one-hot,—
dim_delivery_status,delivery_status,character varying,văn bản / phân loại,đặc trưng,0.0,5,7.0,,,,,16.0,,,không có khuyết thiếu,—,one-hot (5 nhóm),one-hot,—
dim_delivery_status,received_qty_status,character varying,văn bản / phân loại,đặc trưng,0.0,2,4.0,,,,,7.0,,,không có khuyết thiếu,—,nhị phân 0/1,nhị phân 0/1,—
dim_delivery_status,payment_status,character varying,văn bản / phân loại,đặc trưng,25.243,4,4.0,,,,,8.0,,,"khuyết 25.243% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,one-hot (4 nhóm),one-hot,—
dim_delivery_status,recon_status,character varying,văn bản / phân loại,đặc trưng,0.0,2,7.0,,,,,8.0,,,không có khuyết thiếu,—,nhị phân 0/1,nhị phân 0/1,—
dim_delivery_status,document_status,character varying,văn bản / phân loại,đặc trưng,0.0,3,7.0,,,,,17.0,,,không có khuyết thiếu,—,one-hot (3 nhóm),one-hot,—
dim_delivery_status,line_status,character varying,văn bản / phân loại,đặc trưng,50.485,3,7.0,,,,,13.0,,,"khuyết 50.485% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,one-hot (3 nhóm),one-hot,—
dim_delivery_status,is_mismatch,boolean,nhị phân,BỎ — hằng số,38.835,1,,,,,,,,,"khuyết 38.835% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,—,—,—
dim_delivery_status,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,103,12.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_delivery_status,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,103,-1.0,25.5,51.0,407.0,38928.92000000001,40219.0,0.8663,763.31,không có khuyết thiếu,—,—,—,—
dim_delivery_status,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,94.175,,,,,,,,,,"khuyết 94.175% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_delivery_status,batch_id,bigint,số rời rạc,BỎ — hằng số,95.146,1,19.0,19.0,19.0,19.0,19.0,19.0,,1.0,"khuyết 95.146% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_delivery_status,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,28,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_delivery_status,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,28,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_delivery_types,delivery_type_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,5,2.0,,,,,8.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_delivery_types,delivery_type_name,character varying,văn bản / phân loại,đặc trưng,0.0,5,7.0,,,,,16.0,,,không có khuyết thiếu,—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_delivery_types,id,bigint,số rời rạc,cột kỹ thuật — không phải đặc trưng,0.0,5,-1.0,1.0,2.0,3.0,3.96,4.0,0.0,1.98,không có khuyết thiếu,—,—,—,—
dim_delivery_types,source_refs,jsonb,jsonb,BỎ — rỗng hoàn toàn,100.0,,,,,,,,,,bỏ cột,—,—,—,—
dim_delivery_types,batch_id,bigint,số rời rạc,BỎ — hằng số,0.0,1,241698.0,241698.0,241698.0,241698.0,241698.0,241698.0,,1.0,không có khuyết thiếu,—,—,—,—
dim_delivery_types,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_delivery_types,updated_at,timestamp with time zone,thời gian,BỎ — hằng số,0.0,1,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,distributor_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,35,3.0,,,,,8.0,,,không có khuyết thiếu,—,"mã hoá theo nhãn (target encoding), 35 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_distributors,site_domain_id,bigint,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,1.124,19,12.0,12.0,14.0,28.0,72.03999999999996,79.0,0.75,5.15,"gộp vào nhóm ""(không rõ)""",—,"mã hoá theo nhãn (target encoding), 19 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_distributors,warehouse_key,bigint,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,69.663,26,8.0,15.5,23.0,30.5,37.739999999999995,38.0,0.0,1.64,"khuyết 69.663% — giữ CỜ có/không, đừng điền giá trị",—,"gần như không trùng — không mã hoá được, chỉ dùng làm khoá",không mã hoá được — chỉ dùng làm khoá,—
dim_distributors,group_code,character varying,văn bản / phân loại,BỎ — hằng số,0.0,1,11.0,,,,,11.0,,,không có khuyết thiếu,—,—,—,—
dim_distributors,account_channel_id,bigint,số rời rạc,BỎ — hằng số,98.876,1,55.0,55.0,55.0,55.0,55.0,55.0,,1.0,"khuyết 98.876% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_distributors,distributor_name,character varying,văn bản / phân loại,đặc trưng,0.0,35,8.0,,,,,46.0,,,không có khuyết thiếu,—,"mã hoá theo nhãn (target encoding), 35 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_distributors,address,character varying,văn bản / phân loại,đặc trưng,17.978,31,3.0,,,,,111.0,,,"khuyết 17.978% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,"mã hoá theo nhãn (target encoding), 31 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_distributors,distributor_brand,character varying,văn bản / phân loại,BỎ — rỗng hoàn toàn,100.0,0,,,,,,,,,bỏ cột,—,—,—,—
dim_distributors,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,37,12.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_distributors,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,89,-1.0,22.0,2599.0,2621.0,2645.96,2675.0,-0.9831,1.02,không có khuyết thiếu,—,—,—,—
dim_distributors,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,0.0,,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,batch_id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,39,0.0,13.0,60807.0,166134.0,234483.08000000002,238957.0,0.2681,3.86,không có khuyết thiếu,—,—,—,—
dim_distributors,valid_from,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,4,-inf,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,valid_to,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,31.461,38,,,,,,,,,"khuyết 31.461% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,—,—,—
dim_distributors,is_current,boolean,nhị phân,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,39,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,39,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_distributors,dms_site_number,character varying,văn bản / phân loại,đặc trưng,15.73,28,7.0,,,,,7.0,,,"khuyết 15.73% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,"mã hoá theo nhãn (target encoding), 28 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_employees,employee_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,749,4.0,,,,,15.0,,,không có khuyết thiếu,—,"749 nhóm — gộp nhóm hiếm trước, rồi mã hoá theo nhãn",gộp nhóm hiếm rồi mã hoá theo nhãn,—
dim_employees,site_account_id,bigint,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,33.692,7,1.0,2.0,2.0,6.0,7.0,7.0,1.0,3.5,"khuyết 33.692% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,one-hot (7 nhóm),one-hot,—
dim_employees,group_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,0.0,2,3.0,,,,,7.0,,,không có khuyết thiếu,—,nhị phân 0/1,nhị phân 0/1,—
dim_employees,account_channel_id,bigint,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,32.751,2,1.0,1.0,1.0,1.0,1.0,100.0,,1.0,"khuyết 32.751% — gộp vào nhóm ""(không rõ)"" VÀ thêm cờ khuyết",—,nhị phân 0/1,nhị phân 0/1,—
dim_employees,employee_name,character varying,văn bản / phân loại,đặc trưng,0.0,767,6.0,,,,,48.0,,,không có khuyết thiếu,—,"767 nhóm — gộp nhóm hiếm trước, rồi mã hoá theo nhãn",gộp nhóm hiếm rồi mã hoá theo nhãn,—
dim_employees,row_hash,character varying,văn bản / phân loại,cột kỹ thuật — không phải đặc trưng,0.0,1473,12.0,,,,,32.0,,,không có khuyết thiếu,—,—,—,—
dim_employees,manager_user_id,bigint,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,93.193,100,40.0,344.0,4729.0,4828.5,6731.0,6731.0,-0.9556,1.42,"khuyết 93.193% — giữ CỜ có/không, đừng điền giá trị",—,"mã hoá theo nhãn (target encoding), 100 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_employees,user_level,character varying,văn bản / phân loại,đặc trưng,0.97,7,2.0,,,,,4.0,,,"gộp vào nhóm ""(không rõ)""",—,one-hot (7 nhóm),one-hot,—
dim_employees,power_level,integer,số rời rạc,đặc trưng,0.97,6,1.0,1.0,1.0,1.0,3.0,6.0,,3.0,điền trung vị,chuẩn hoá z,one-hot (6 nhóm),one-hot,IQR bằng 0 — quá nửa số dòng cùng một giá trị
dim_employees,management_path,character varying,văn bản / phân loại,khoá của dòng — không dùng làm đặc trưng,83.818,1084,3.0,,,,,31.0,,,"khuyết 83.818% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_employees,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,6699,-1.0,1674.5,3349.0,5055.5,6663.0199999999995,6731.0,0.0095,1.99,không có khuyết thiếu,—,—,—,—
dim_employees,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,0.0,,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_employees,batch_id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,94,0.0,156130.0,156252.0,166049.0,166146.0,237311.0,0.9754,1.06,không có khuyết thiếu,—,—,—,—
dim_employees,valid_from,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,15,-inf,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_employees,valid_to,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,4.299,71,,,,,,,,,"gộp vào nhóm ""(không rõ)""",—,—,—,—
dim_employees,is_current,boolean,nhị phân,cột kỹ thuật — không phải đặc trưng,0.0,2,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_employees,created_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,96,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_employees,updated_at,timestamp with time zone,thời gian,cột kỹ thuật — không phải đặc trưng,0.0,73,,,,,,,,,không có khuyết thiếu,—,—,—,—
dim_employees,emp_id_hr,character varying,văn bản / phân loại,BỎ — rỗng hoàn toàn,100.0,0,,,,,,,,,bỏ cột,—,—,—,—
dim_employees,is_active,boolean,nhị phân,BỎ — hằng số,85.819,1,,,,,,,,,"khuyết 85.819% — giữ CỜ có/không, đừng điền giá trị",—,—,—,—
dim_employees,sales_channel,character varying,văn bản / phân loại,đặc trưng,88.909,2,3.0,,,,,5.0,,,"khuyết 88.909% — giữ CỜ có/không, đừng điền giá trị",—,nhị phân 0/1,nhị phân 0/1,—
dim_employees,flat_sup_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,96.119,37,0.0,,,,,7.0,,,"khuyết 96.119% — giữ CỜ có/không, đừng điền giá trị",—,"mã hoá theo nhãn (target encoding), 37 nhóm — tính trong từng fold",mã hoá theo nhãn (target encoding),—
dim_employees,flat_asm_code,character varying,phân loại (khoá ngoại),khoá ngoại — dùng như biến phân loại,96.044,12,0.0,,,,,7.0,,,"khuyết 96.044% — giữ CỜ có/không, đừng điền giá trị",—,one-hot (12 nhóm),one-hot,—
dim_inventory_policy,warehouse_code,character varying,văn bản / phân loại,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,brand_code,character varying,văn bản / phân loại,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,target_weeks,double precision,số rời rạc,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,min_stock_qty,double precision,số rời rạc,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,effective_from,date,thời gian,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,effective_to,date,thời gian,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,notes,character varying,văn bản / phân loại,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,id,bigint,số rời rạc,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,source_refs,jsonb,jsonb,cột kỹ thuật — không phải đặc trưng,,,,,,,,,,,—,—,—,—,—
dim_inventory_policy,batch_id,bigint,số rời rạc,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,created_at,timestamp with time zone,thời gian,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_inventory_policy,updated_at,timestamp with time zone,thời gian,BỎ — hằng số,,0,,,,,,,,,—,—,—,—,—
dim_locators,id,bigint,số liên tục,cột kỹ thuật — không phải đặc trưng,0.0,315,-1.0,78.5,157.0,235.5,310.86,54212.0,0.0,1.98,không có khuyết thiếu,—,—,—,—
dim_locators,batch_id,bigint,số rời rạc,BỎ — hằng số,0.317,1,241684.0,241684.0,241684.0,241684.0,241684.0,241684.0,,1.0,điền trung vị,—,—,—,—
