bang,cot,phan_loai,diem_thong_tin,day_du,can_cu_tac_dung
fact_inventory_lot_snapshot,product_code_raw,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.3511,ĐỦ,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,delivery_date,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.3135,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_visits,planned_start_date,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.2447,ĐỦ,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú
fact_visits,planned_end_date,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.2447,ĐỦ,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú
dim_sub_inventories,sub_inventory_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.2432,ĐỦ,bảng `dim_sub_inventories` nối được về hạt; entropy: thông tin phong phú
dim_product_brands,brand_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.1832,ĐỦ,bảng `dim_product_brands` nối được về hạt; entropy: thông tin phong phú
dim_site_domains,site_domain_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.183,ĐỦ,bảng `dim_site_domains` nối được về hạt; entropy: thông tin phong phú
dim_site_domains,site_domain_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.1806,ĐỦ,bảng `dim_site_domains` nối được về hạt; entropy: thông tin phong phú
dim_locators,sub_inventory_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.1673,ĐỦ,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú
dim_account_channels,channel_path,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.1648,ĐỦ,bảng `dim_account_channels` nối được về hạt; entropy: thông tin phong phú
dim_sub_inventories,sub_inventory_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.1319,ĐỦ,bảng `dim_sub_inventories` nối được về hạt; entropy: thông tin phong phú
fact_inventory_lot_snapshot,expiry_date,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0626,ĐỦ,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú
dim_shippers,shipper_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.013,ĐỦ,bảng `dim_shippers` nối được về hạt; entropy: thông tin phong phú
dim_shippers,shipper_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.013,ĐỦ,bảng `dim_shippers` nối được về hạt; entropy: thông tin phong phú
dim_product_brands,brand_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0057,ĐỦ,bảng `dim_product_brands` nối được về hạt; entropy: thông tin phong phú
dim_delivery_types,delivery_type_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_delivery_types` nối được về hạt; entropy: thông tin phong phú
dim_delivery_types,delivery_type_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_delivery_types` nối được về hạt; entropy: thông tin phong phú
dim_order_types,order_type_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú
dim_order_types,order_type_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú
dim_order_types,description,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú
dim_order_types,sort_order,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú
dim_site_accounts,site_account_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_site_accounts` nối được về hạt; entropy: thông tin phong phú
dim_site_accounts,site_account_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_site_accounts` nối được về hạt; entropy: thông tin phong phú
dim_suppliers,supplier_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_suppliers` nối được về hạt; entropy: thông tin phong phú
dim_suppliers,supplier_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_suppliers` nối được về hạt; entropy: thông tin phong phú
dim_warehouses,warehouse_code,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_warehouses` nối được về hạt; entropy: thông tin phong phú
dim_warehouses,warehouse_name,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `dim_warehouses` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,order_source,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,1.0,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
dim_locators,is_priced,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9998,ĐỦ,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,total_net_revenue,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9998,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,total_vat,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9996,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,total_amount,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9993,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,total_before_discount,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9988,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_order_lines,order_date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9986,ĐỦ,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú
fact_inventory_lot_snapshot,product_id,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9983,ĐỦ,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,order_date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9982,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
dim_shippers,license_plate,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.996,ĐỦ,bảng `dim_shippers` nối được về hạt; entropy: thông tin phong phú
fact_visits,shop_id,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9952,ĐỦ,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú
fact_visits,date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9942,ĐỦ,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú
fact_inventory_daily_balances,product_id,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9917,ĐỦ,bảng `fact_inventory_daily_balances` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,shipper_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9903,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,created_date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9903,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
fact_delivery_details,date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9901,ĐỦ,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú
fact_inventory_daily_balances,date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9884,ĐỦ,bảng `fact_inventory_daily_balances` nối được về hạt; entropy: thông tin phong phú
fact_inventory_lot_snapshot,date_key,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9881,ĐỦ,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú
fact_order_fulfillment,raw_created_at,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9815,ĐỦ,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú
fact_inventory_daily_balances,warehouse_id,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,0.9729,ĐỦ,bảng `fact_inventory_daily_balances` nối được về hạt; entropy: thông tin phong phú
