chuoi_chuan,muc_phan_bo,so_dong,so_ctkm,nguyen_van
RURAL MIEN BAC,KHONG_XAC_DINH,3,1,"WM+ HNI Cẩm Lĩnh, Đông Phượng
WM+ HNI 13 Tổ 3 Tân Xuân
WM+ HNI Tổ 25 TT Đông Anh
WM+ HNI Thôn Đìa, Xã Nam Hồng
WM+ HNI 15 Tổ 4 Đông Anh
WM+ HNI TTTM Chợ Sủi
WM+ HNI Thôn 6, Song Phương
WM+ HNI Tổ 1, TT Quang Minh
WM+ HNI Khu 10 Thôn Thường Lệ
WM+ HNI Bồng Mạc, Liên Mạc
WM+ HNI 51 Quang Trung, Kim Lũ
WM+ HNI Hạ Hoà, Hưng Đạo
WM+ HNI Kim Thượng, Kim Lũ
WM+ HNI 103-105 Đa Phúc
WM+ HNI 67 đường 2 khu 2 Phú Minh
WM+ HNI Chợ Hiền Ninh, Sóc Sơn
WM+ HNI 60 Tứ Hiệp
WM+ HNI Nam Hòa 2, Đặng Giang
WM+ TBH 306 Đường 3 Tháng 2
RURAL MIỀN BẮC"
(TRU CIRCLE K),KHONG_XAC_DINH,2,1,"Tất cả Hệ Thống MT Miền Bắc 
(Trừ Circle K)"
GO! DI AN,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! THANG LONG,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! AN LAC,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! HAI PHONG,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! DA NANG,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! NGUYEN THI THAP,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
GO! DONG NAI,KHONG_XAC_DINH,2,1,"GO! THĂNG LONG
TOPS MARKET THẢO ĐIỀN
GO! HẢI PHÒNG
GO! DĨ AN
GO! ĐỒNG NAI
GO! AN LẠC
GO! ĐÀ NẴNG
GO! NGUYỄN THỊ THẬP"
WM VC+ DTP SA DEC,KHONG_XAC_DINH,1,1,"WM VC+ DTP Sa Đéc
WM VC+ THA Tĩnh Gia"
MD,KHONG_XAC_DINH,1,1,MD
WM VC+ THA TINH GIA,KHONG_XAC_DINH,1,1,"WM VC+ DTP Sa Đéc
WM VC+ THA Tĩnh Gia"
