bang,cot,kieu,dong,khuyet_pct,so_gia_tri_khac_nhau,luc_luong_pct,min,max,trung_binh,do_lech_chuan,p01,p25,trung_vi,p75,p95,p99,so_dong_bang_0,so_dong_am,so_dong_chuoi_rong,hang_so
dim_assets,batch_id,bigint,32878,0.0,833,2.534,0,241675,73002.8248372772,94011.75957837,22.0,22.0,22.0,200854.0,200854.0,211879.77999999892,1,0,,false
dim_assets,valid_from,timestamp with time zone,32878,0.0,833,2.534,2026-06-09 08:10:04.332992+00,2026-08-28 09:01:10.183192+00,,,,,,,,,,,,false
dim_assets,valid_to,timestamp with time zone,32878,61.375,825,6.497,2026-06-10 03:18:56.729691+00,2026-08-28 09:01:09.96316+00,,,,,,,,,,,,false
dim_assets,is_current,boolean,32878,0.0,2,0.006,,,,,,,,,,,,,,false
dim_assets,created_at,timestamp with time zone,32878,0.0,833,2.534,2026-06-09 08:10:04.332986+00,2026-08-28 09:01:10.183192+00,,,,,,,,,,,,false
dim_assets,updated_at,timestamp with time zone,32878,0.0,1250,3.802,2026-06-09 08:10:04.332991+00,2026-08-28 09:01:10.183192+00,,,,,,,,,,,,false
dim_categories,category_code,character varying,277,0.0,277,100.0,1,7,,,,,,,,,,,0,false
dim_categories,category_name,character varying,277,0.0,276,99.639,3,89,,,,,,,,,,,0,false
dim_categories,row_hash,character varying,277,0.0,277,100.0,12,32,,,,,,,,,,,0,false
dim_categories,id,bigint,277,0.0,277,100.0,-1,276,137.99638989169677,79.96874381261168,2.7600000000000002,69.0,138.0,207.0,262.2,273.24,0,1,,false
dim_categories,source_refs,jsonb,277,0.0,,,,,,,,,,,,,,,,false
dim_categories,batch_id,bigint,277,0.0,2,0.722,0,11,10.96028880866426,0.659731859148728,11.0,11.0,11.0,11.0,11.0,11.0,1,0,,false
dim_categories,valid_from,timestamp with time zone,277,0.0,2,0.722,2026-06-09 08:10:04.356712+00,2026-06-09 08:16:14.153408+00,,,,,,,,,,,,false
dim_categories,valid_to,timestamp with time zone,277,100.0,0,,,,,,,,,,,,,,,true
dim_categories,is_current,boolean,277,0.0,1,0.361,,,,,,,,,,,,,,true
dim_categories,created_at,timestamp with time zone,277,0.0,2,0.722,2026-06-09 08:10:04.356706+00,2026-06-09 08:16:14.153408+00,,,,,,,,,,,,false
dim_categories,updated_at,timestamp with time zone,277,0.0,2,0.722,2026-06-09 08:10:04.356711+00,2026-06-09 08:16:14.153408+00,,,,,,,,,,,,false
dim_chains,chain_code,character varying,9638,0.0,9638,100.0,3,13,,,,,,,,,,,0,false
dim_chains,chain_name,character varying,9638,0.0,9603,99.637,2,93,,,,,,,,,,,0,false
dim_chains,is_active,boolean,9638,0.0,1,0.01,,,,,,,,,,,,,,true
dim_chains,source_system,character varying,9638,99.585,1,2.5,3,3,,,,,,,,,,,0,true
dim_chains,row_hash,character varying,9638,0.0,9638,100.0,32,32,,,,,,,,,,,0,false
dim_chains,id,bigint,9638,0.0,9638,100.0,1,9699,4821.891886283462,2786.069682159411,97.37,2410.25,4819.5,7228.75,9185.15,9570.63,0,0,,false
dim_chains,source_refs,jsonb,9638,100.0,,,,,,,,,,,,,,,,false
dim_chains,batch_id,bigint,9638,0.0,155,1.608,16,241709,13598.073562979871,47077.3456984,16.0,16.0,16.0,16.0,110968.0,216070.0,0,0,,false
dim_chains,valid_from,timestamp with time zone,9638,0.0,155,1.608,2026-06-09 08:16:46.798218+00,2026-08-28 09:11:15.869807+00,,,,,,,,,,,,false
dim_chains,valid_to,timestamp with time zone,9638,100.0,0,,,,,,,,,,,,,,,true
dim_chains,is_current,boolean,9638,0.0,1,0.01,,,,,,,,,,,,,,true
dim_chains,created_at,timestamp with time zone,9638,0.0,155,1.608,2026-06-09 08:16:46.798218+00,2026-08-28 09:11:15.869807+00,,,,,,,,,,,,false
dim_chains,updated_at,timestamp with time zone,9638,0.0,155,1.608,2026-06-09 08:16:46.798218+00,2026-08-28 09:11:15.869807+00,,,,,,,,,,,,false
dim_dates,date_key,integer,4018,0.0,4018,100.0,20200101,20301231,20250660.528870083,31626.72953581,20200210.17,20221001.25,20250701.5,20280383.5,20300613.15,20301120.83,0,0,,false
dim_dates,full_date,date,4018,0.0,4018,100.0,2020-01-01,2030-12-31,,,,,,,,,,,,false
dim_dates,day,integer,4018,0.0,31,0.772,1,31,15.730462916874068,8.80044078010217,1.0,8.0,16.0,23.0,29.0,31.0,0,0,,false
dim_dates,month,integer,4018,0.0,12,0.299,1,12,6.522648083623693,3.44878041740034,1.0,4.0,7.0,10.0,12.0,12.0,0,0,,false
dim_dates,year,integer,4018,0.0,11,0.274,2020,2030,2024.9992533598806,3.162474322856651,2020.0,2022.0,2025.0,2028.0,2030.0,2030.0,0,0,,false
dim_dates,quarter,integer,4018,0.0,4,0.1,1,4,2.5084619213539074,1.1171111652688974,1.0,2.0,3.0,4.0,4.0,4.0,0,0,,false
dim_dates,week,integer,4018,0.0,53,1.319,1,53,26.59233449477352,15.063316210151013,1.0,14.0,27.0,40.0,50.0,52.0,0,0,,false
dim_dates,fiscal_year,integer,4018,0.0,11,0.274,2020,2030,2024.9992533598806,3.162474322856651,2020.0,2022.0,2025.0,2028.0,2030.0,2030.0,0,0,,false
dim_dates,is_working_day,boolean,4018,0.0,2,0.05,,,,,,,,,,,,,,false
dim_dates,is_weekend,boolean,4018,0.0,2,0.05,,,,,,,,,,,,,,false
dim_dates,id,bigint,4018,0.0,4018,100.0,1,4018,2009.5,1159.896654879218,41.17,1005.25,2009.5,3013.75,3817.1499999999996,3977.83,0,0,,false
dim_dates,source_refs,jsonb,4018,100.0,,,,,,,,,,,,,,,,false
dim_dates,batch_id,bigint,4018,100.0,0,,,,,,,,,,,,0,0,,true
dim_dates,created_at,timestamp with time zone,4018,0.0,1,0.025,2026-06-09 08:15:22.138172+00,2026-06-09 08:15:22.138172+00,,,,,,,,,,,,true
dim_dates,updated_at,timestamp with time zone,4018,0.0,1,0.025,2026-06-09 08:15:22.138172+00,2026-06-09 08:15:22.138172+00,,,,,,,,,,,,true
dim_delivery_status,note_status,character varying,103,0.0,9,8.738,3,18,,,,,,,,,,,0,false
dim_delivery_status,delivery_status,character varying,103,0.0,5,4.854,7,16,,,,,,,,,,,0,false
dim_delivery_status,received_qty_status,character varying,103,0.0,2,1.942,4,7,,,,,,,,,,,0,false
dim_delivery_status,payment_status,character varying,103,25.243,4,5.195,4,8,,,,,,,,,,,0,false
dim_delivery_status,recon_status,character varying,103,0.0,2,1.942,7,8,,,,,,,,,,,0,false
dim_delivery_status,document_status,character varying,103,0.0,3,2.913,7,17,,,,,,,,,,,0,false
dim_delivery_status,line_status,character varying,103,50.485,3,5.882,7,13,,,,,,,,,,,0,false
dim_delivery_status,is_mismatch,boolean,103,38.835,1,1.587,,,,,,,,,,,,,,true
dim_delivery_status,row_hash,character varying,103,0.0,103,100.0,12,32,,,,,,,,,,,0,false
dim_delivery_status,id,bigint,103,0.0,103,100.0,-1,40219,5315.097087378641,10544.660842428086,1.02,25.5,51.0,407.0,30290.9,38928.92000000001,0,1,,false
dim_delivery_status,source_refs,jsonb,103,94.175,,,,,,,,,,,,,,,,false
dim_delivery_status,batch_id,bigint,103,95.146,1,20.0,19,19,19.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,0,0,,true
dim_delivery_status,created_at,timestamp with time zone,103,0.0,28,27.184,2026-06-09 08:16:48.384333+00,2026-08-27 10:07:47.761089+00,,,,,,,,,,,,false
dim_delivery_status,updated_at,timestamp with time zone,103,0.0,28,27.184,2026-06-09 08:16:48.384333+00,2026-08-27 10:07:47.761089+00,,,,,,,,,,,,false
dim_delivery_types,delivery_type_code,character varying,5,0.0,5,100.0,2,8,,,,,,,,,,,0,false
dim_delivery_types,delivery_type_name,character varying,5,0.0,5,100.0,7,16,,,,,,,,,,,0,false
dim_delivery_types,id,bigint,5,0.0,5,100.0,-1,4,1.8,1.7204650534085253,-0.92,1.0,2.0,3.0,3.8,3.96,0,1,,false
dim_delivery_types,source_refs,jsonb,5,100.0,,,,,,,,,,,,,,,,false
dim_delivery_types,batch_id,bigint,5,0.0,1,20.0,241698,241698,241698.0,0.0,241698.0,241698.0,241698.0,241698.0,241698.0,241698.0,0,0,,true
dim_delivery_types,created_at,timestamp with time zone,5,0.0,2,40.0,2026-06-09 08:10:04.17611+00,2026-06-09 08:15:21.188057+00,,,,,,,,,,,,false
dim_delivery_types,updated_at,timestamp with time zone,5,0.0,1,20.0,2026-08-28 09:10:15.388617+00,2026-08-28 09:10:15.388617+00,,,,,,,,,,,,true
dim_distributors,distributor_code,character varying,89,0.0,35,39.326,3,8,,,,,,,,,,,0,false
dim_distributors,site_domain_id,bigint,89,1.124,19,21.591,12,79,25.693181818181817,20.12537857043454,12.0,12.0,14.0,28.0,68.0,72.03999999999996,0,0,,false
dim_distributors,warehouse_key,bigint,89,69.663,26,96.296,8,38,23.0,9.128709291752768,8.26,15.5,23.0,30.5,36.7,37.739999999999995,0,0,,false
dim_distributors,group_code,character varying,89,0.0,1,1.124,11,11,,,,,,,,,,,0,true
dim_distributors,account_channel_id,bigint,89,98.876,1,100.0,55,55,55.0,0.0,55.0,55.0,55.0,55.0,55.0,55.0,0,0,,true
dim_distributors,distributor_name,character varying,89,0.0,35,39.326,8,46,,,,,,,,,,,0,false
dim_distributors,address,character varying,89,17.978,31,42.466,3,111,,,,,,,,,,,0,false
dim_distributors,distributor_brand,character varying,89,100.0,0,,,,,,,,,,,,,,0,true
dim_distributors,row_hash,character varying,89,0.0,37,41.573,12,32,,,,,,,,,,,0,false
dim_distributors,id,bigint,89,0.0,89,100.0,-1,2675,1623.2808988764045,1263.435693874641,0.76,22.0,2599.0,2621.0,2638.6,2645.96,0,1,,false
dim_distributors,source_refs,jsonb,89,0.0,,,,,,,,,,,,,,,,false
dim_distributors,batch_id,bigint,89,0.0,39,43.82,0,238957,74955.46067415731,77858.06798806,11.44,13.0,60807.0,166134.0,167651.6,234483.08000000002,1,0,,false
dim_distributors,valid_from,timestamp with time zone,89,0.0,4,4.494,-infinity,2026-08-27 10:22:46.148421+00,,,,,,,,,,,,false
dim_distributors,valid_to,timestamp with time zone,89,31.461,38,62.295,2026-06-09 08:16:15.921542+00,2026-08-27 10:22:45.866567+00,,,,,,,,,,,,false
dim_distributors,is_current,boolean,89,0.0,2,2.247,,,,,,,,,,,,,,false
dim_distributors,created_at,timestamp with time zone,89,0.0,39,43.82,2026-06-09 08:10:04.224841+00,2026-08-27 10:22:45.866567+00,,,,,,,,,,,,false
dim_distributors,updated_at,timestamp with time zone,89,0.0,39,43.82,2026-06-09 08:10:04.224842+00,2026-08-27 10:22:45.866567+00,,,,,,,,,,,,false
dim_distributors,dms_site_number,character varying,89,15.73,28,37.333,7,7,,,,,,,,,,,0,false
dim_employees,employee_code,character varying,6699,0.0,749,11.181,4,15,,,,,,,,,,,0,false
dim_employees,site_account_id,bigint,6699,33.692,7,0.158,1,7,3.770598829356146,2.0868814862100455,1.0,2.0,2.0,6.0,7.0,7.0,0,0,,false
dim_employees,group_code,character varying,6699,0.0,2,0.03,3,7,,,,,,,,,,,0,false
dim_employees,account_channel_id,bigint,6699,32.751,2,0.044,1,100,1.0439511653718092,2.0854816390636386,1.0,1.0,1.0,1.0,1.0,1.0,0,0,,false
dim_employees,employee_name,character varying,6699,0.0,767,11.449,6,48,,,,,,,,,,,0,false
dim_employees,row_hash,character varying,6699,0.0,1473,21.988,12,32,,,,,,,,,,,0,false
dim_employees,manager_user_id,bigint,6699,93.193,100,21.93,40,6731,3148.907894736842,2518.88113655907,54.0,344.0,4729.0,4828.5,6728.0,6731.0,0,0,,false
dim_employees,user_level,character varying,6699,0.97,7,0.106,2,4,,,,,,,,,,,0,false
dim_employees,power_level,integer,6699,0.97,6,0.09,1,6,1.1166716912873078,0.40192784427351524,1.0,1.0,1.0,1.0,2.0,3.0,0,0,,false
dim_employees,management_path,character varying,6699,83.818,1084,100.0,3,31,,,,,,,,,,,0,false
dim_employees,id,bigint,6699,0.0,6699,100.0,-1,6731,3359.5799373040754,1946.131070047387,66.98,1674.5,3349.0,5055.5,6395.099999999999,6663.0199999999995,0,1,,false
dim_employees,source_refs,jsonb,6699,0.0,,,,,,,,,,,,,,,,false
dim_employees,batch_id,bigint,6699,0.0,94,1.403,0,237311,142403.3221376325,50331.49102029,12.0,156130.0,156252.0,166049.0,166146.0,166146.0,1,0,,false
dim_employees,valid_from,timestamp with time zone,6699,0.0,15,0.224,-infinity,2026-08-27 02:32:40.068029+00,,,,,,,,,,,,false
dim_employees,valid_to,timestamp with time zone,6699,4.299,71,1.107,2026-06-09 08:16:14.681922+00,2026-08-27 02:32:39.651924+00,,,,,,,,,,,,false
dim_employees,is_current,boolean,6699,0.0,2,0.03,,,,,,,,,,,,,,false
dim_employees,created_at,timestamp with time zone,6699,0.0,96,1.433,2026-06-09 08:10:04.191429+00,2026-08-27 02:32:40.096495+00,,,,,,,,,,,,false
dim_employees,updated_at,timestamp with time zone,6699,0.0,73,1.09,2026-06-09 08:16:14.422874+00,2026-08-28 09:10:35.510851+00,,,,,,,,,,,,false
dim_employees,emp_id_hr,character varying,6699,100.0,0,,,,,,,,,,,,,,0,true
dim_employees,is_active,boolean,6699,85.819,1,0.105,,,,,,,,,,,,,,true
dim_employees,sales_channel,character varying,6699,88.909,2,0.269,3,5,,,,,,,,,,,0,false
dim_employees,flat_sup_code,character varying,6699,96.119,37,14.231,0,7,,,,,,,,,,,10,false
dim_employees,flat_asm_code,character varying,6699,96.044,12,4.528,0,7,,,,,,,,,,,2,false
dim_inventory_policy,warehouse_code,character varying,0,,0,,,,,,,,,,,,,,0,true
dim_inventory_policy,brand_code,character varying,0,,0,,,,,,,,,,,,,,0,true
dim_inventory_policy,target_weeks,double precision,0,,0,,,,,,,,,,,,0,0,,true
dim_inventory_policy,min_stock_qty,double precision,0,,0,,,,,,,,,,,,0,0,,true
dim_inventory_policy,effective_from,date,0,,0,,,,,,,,,,,,,,,true
dim_inventory_policy,effective_to,date,0,,0,,,,,,,,,,,,,,,true
dim_inventory_policy,notes,character varying,0,,0,,,,,,,,,,,,,,0,true
dim_inventory_policy,id,bigint,0,,0,,,,,,,,,,,,0,0,,true
dim_inventory_policy,source_refs,jsonb,0,,,,,,,,,,,,,,,,,false
dim_inventory_policy,batch_id,bigint,0,,0,,,,,,,,,,,,0,0,,true
dim_inventory_policy,created_at,timestamp with time zone,0,,0,,,,,,,,,,,,,,,true
dim_inventory_policy,updated_at,timestamp with time zone,0,,0,,,,,,,,,,,,,,,true
dim_locators,id,bigint,315,0.0,315,100.0,-1,54212,328.6857142857143,3042.20557516121,3.14,78.5,157.0,235.5,298.3,310.86,0,1,,false
dim_locators,batch_id,bigint,315,0.317,1,0.318,241684,241684,241684.0,0.0,241684.0,241684.0,241684.0,241684.0,241684.0,241684.0,0,0,,true
dim_locators,source_refs,jsonb,315,100.0,,,,,,,,,,,,,,,,false
dim_locators,created_at,timestamp with time zone,315,0.0,4,1.27,2026-08-07 08:55:36.612217+00,2026-08-14 10:49:53.679825+00,,,,,,,,,,,,false
dim_locators,updated_at,timestamp with time zone,315,0.0,2,0.635,2026-08-07 08:55:36.612217+00,2026-08-28 09:01:45.183457+00,,,,,,,,,,,,false
dim_locators,locator_code,character varying,315,0.0,315,100.0,7,23,,,,,,,,,,,0,false
dim_locators,locator_name,character varying,315,0.0,314,99.683,10,55,,,,,,,,,,,0,false
dim_locators,sub_inventory_key,bigint,315,98.73,2,50.0,72,73,72.5,0.5,72.0,72.0,72.5,73.0,73.0,73.0,0,0,,false
dim_locators,sub_inventory_code,character varying,315,0.635,167,53.355,4,10,,,,,,,,,,,0,false
dim_locators,purpose_code,character varying,315,0.0,9,2.857,2,7,,,,,,,,,,,0,false
dim_locators,purpose_name,character varying,315,0.0,9,2.857,4,14,,,,,,,,,,,0,false
dim_locators,site_type_code,character varying,315,0.0,4,1.27,7,9,,,,,,,,,,,0,false
dim_locators,site_type_name,character varying,315,0.0,4,1.27,11,15,,,,,,,,,,,0,false
dim_locators,is_sellable_stock,boolean,315,0.0,2,0.635,,,,,,,,,,,,,,false
dim_locators,is_priced,boolean,315,0.0,2,0.635,,,,,,,,,,,,,,false
dim_locators,location_code,character varying,315,12.698,77,28.0,2,18,,,,,,,,,,,0,false
dim_locators,location_address,character varying,315,12.698,77,28.0,3,100,,,,,,,,,,,0,false
dim_locators,organization_code,character varying,315,8.889,6,2.091,3,3,,,,,,,,,,,0,false
dim_locators,is_from_master,boolean,315,0.0,2,0.635,,,,,,,,,,,,,,false
dim_order_status,status_code,character varying,10,0.0,10,100.0,7,17,,,,,,,,,,,0,false
dim_order_status,status_name,character varying,10,0.0,10,100.0,7,20,,,,,,,,,,,0,false
dim_order_status,bucket_group,character varying,10,0.0,5,50.0,4,11,,,,,,,,,,,0,false
dim_order_status,description,character varying,10,0.0,10,100.0,16,90,,,,,,,,,,,0,false
dim_order_status,is_closed,boolean,10,0.0,2,20.0,,,,,,,,,,,,,,false
dim_order_status,is_revenue_recognized,boolean,10,0.0,2,20.0,,,,,,,,,,,,,,false
dim_order_status,is_cancelled,boolean,10,0.0,2,20.0,,,,,,,,,,,,,,false
dim_order_status,sort_order,integer,10,0.0,10,100.0,1,99,14.4,28.30618307013505,1.09,3.25,5.5,7.75,58.4999999999999,90.9,0,0,,false
dim_order_status,id,bigint,10,0.0,10,100.0,-1,9,4.4,3.0397368307141326,-0.8200000000000001,2.25,4.5,6.75,8.549999999999999,8.91,0,1,,false
dim_order_status,source_refs,jsonb,10,100.0,,,,,,,,,,,,,,,,false
dim_order_status,batch_id,bigint,10,0.0,2,20.0,0,241694,217524.6,72508.2,21752.46,241694.0,241694.0,241694.0,241694.0,241694.0,1,0,,false
dim_order_status,created_at,timestamp with time zone,10,0.0,3,30.0,2026-06-09 08:10:04.281686+00,2026-07-30 04:46:12.922943+00,,,,,,,,,,,,false
dim_order_status,updated_at,timestamp with time zone,10,0.0,2,20.0,2026-06-09 08:10:04.281691+00,2026-08-28 09:10:15.388617+00,,,,,,,,,,,,false
dim_order_types,order_type_code,character varying,15,0.0,15,100.0,7,12,,,,,,,,,,,0,false
dim_order_types,order_type_name,character varying,15,0.0,15,100.0,6,15,,,,,,,,,,,0,false
dim_order_types,description,character varying,15,0.0,15,100.0,16,57,,,,,,,,,,,0,false
dim_order_types,is_free_order,boolean,15,0.0,2,13.333,,,,,,,,,,,,,,false
dim_order_types,sort_order,integer,15,0.0,15,100.0,1,99,13.6,23.153977340117326,1.1400000000000001,4.5,8.0,11.5,39.49999999999991,87.09999999999995,0,0,,false
dim_order_types,id,bigint,15,0.0,15,100.0,-1,14,6.933333333333334,4.434210439550904,-0.72,3.5,7.0,10.5,13.299999999999999,13.86,0,1,,false
dim_order_types,source_refs,jsonb,15,100.0,,,,,,,,,,,,,,,,false
dim_order_types,batch_id,bigint,15,0.0,2,13.333,0,241695,225582.0,60289.32547309,33837.3,241695.0,241695.0,241695.0,241695.0,241695.0,1,0,,false
dim_order_types,created_at,timestamp with time zone,15,0.0,2,13.333,2026-06-09 08:10:04.293148+00,2026-06-09 08:15:21.188057+00,,,,,,,,,,,,false
dim_order_types,updated_at,timestamp with time zone,15,0.0,2,13.333,2026-06-09 08:10:04.293153+00,2026-08-28 09:10:15.388617+00,,,,,,,,,,,,false
dim_otif_reason,reason_text,character varying,22,0.0,22,100.0,4,40,,,,,,,,,,,0,false
dim_otif_reason,incharge_group,character varying,22,0.0,5,22.727,3,8,,,,,,,,,,,0,false
dim_otif_reason,is_included_otif,boolean,22,0.0,2,9.091,,,,,,,,,,,,,,false
dim_otif_reason,notes,character varying,22,95.455,1,100.0,71,71,,,,,,,,,,,0,true
dim_otif_reason,id,bigint,22,0.0,22,100.0,1,22,11.5,6.34428877022476,1.21,6.25,11.5,16.75,20.95,21.79,0,0,,false
dim_otif_reason,source_refs,jsonb,22,100.0,,,,,,,,,,,,,,,,false
dim_otif_reason,batch_id,bigint,22,0.0,2,9.091,227558,241700,241057.18181818182,2945.762976275704,230527.82,241700.0,241700.0,241700.0,241700.0,241700.0,0,0,,false
dim_otif_reason,created_at,timestamp with time zone,22,0.0,2,9.091,2026-06-09 08:15:21.188057+00,2026-06-23 03:32:20.063389+00,,,,,,,,,,,,false
dim_otif_reason,updated_at,timestamp with time zone,22,0.0,2,9.091,2026-06-23 03:32:20.063389+00,2026-08-28 09:10:15.388617+00,,,,,,,,,,,,false
dim_otif_reason,impact_type,character varying,22,4.545,3,14.286,12,33,,,,,,,,,,,0,false
dim_otif_reason,revenue_impact,character varying,22,4.545,3,14.286,2,8,,,,,,,,,,,0,false
dim_otif_reason,cancel_nature,character varying,22,4.545,20,95.238,20,47,,,,,,,,,,,0,false
dim_otif_reason,revenue_loss_level,character varying,22,4.545,6,28.571,3,17,,,,,,,,,,,0,false
dim_otif_reason,classification_rationale,character varying,22,9.091,20,100.0,110,272,,,,,,,,,,,0,false
dim_price_lists,price_list_code,character varying,364,0.0,362,99.451,5,11,,,,,,,,,,,0,false
dim_price_lists,price_list_name,character varying,364,0.0,361,99.176,10,54,,,,,,,,,,,0,false
dim_price_lists,currency,character varying,364,0.549,2,0.552,3,3,,,,,,,,,,,0,false
dim_price_lists,effective_from,timestamp without time zone,364,99.725,1,100.0,-infinity,-infinity,,,,,,,,,,,,true
dim_price_lists,effective_to,timestamp without time zone,364,100.0,0,,,,,,,,,,,,,,,true
dim_price_lists,row_hash,character varying,364,0.0,364,100.0,12,32,,,,,,,,,,,0,false
dim_price_lists,id,bigint,364,0.0,364,100.0,-1,363,181.49725274725276,105.082110715633,3.63,90.75,181.5,272.25,344.84999999999997,359.37,0,1,,false
dim_price_lists,source_refs,jsonb,364,0.0,,,,,,,,,,,,,,,,false
dim_price_lists,batch_id,bigint,364,0.0,6,1.648,0,177524,1732.2527472527472,14766.60634403,17.0,17.0,17.0,17.0,17.0,66963.06000000004,1,0,,false
dim_price_lists,valid_from,timestamp with time zone,364,0.0,6,1.648,2026-06-09 08:10:04.34596+00,2026-08-13 12:06:51.899319+00,,,,,,,,,,,,false
dim_price_lists,valid_to,timestamp with time zone,364,99.451,2,100.0,2026-08-12 12:15:13.139526+00,2026-08-13 12:06:51.882485+00,,,,,,,,,,,,false
dim_price_lists,is_current,boolean,364,0.0,2,0.549,,,,,,,,,,,,,,false
dim_price_lists,created_at,timestamp with time zone,364,0.0,6,1.648,2026-06-09 08:10:04.345955+00,2026-08-13 12:06:51.899319+00,,,,,,,,,,,,false
dim_price_lists,updated_at,timestamp with time zone,364,0.0,8,2.198,2026-06-09 08:10:04.345959+00,2026-08-13 12:06:51.899319+00,,,,,,,,,,,,false
dim_product_brands,brand_code,character varying,299431,0.0,203,0.068,4,9,,,,,,,,,,,0,false
dim_product_brands,brand_name,character varying,299431,0.0,222,0.074,3,47,,,,,,,,,,,0,false
dim_product_brands,description,character varying,299431,99.998,5,71.429,6,14,,,,,,,,,,,0,false
dim_product_brands,row_hash,character varying,299431,0.0,274,0.092,12,32,,,,,,,,,,,0,false
dim_product_brands,parent_brand_id,bigint,299431,1.464,54,0.018,1,119,53.689871882139656,36.38212266898438,1.0,22.0,52.0,85.0,113.0,119.0,0,0,,false
dim_product_brands,brand_path,character varying,299431,0.0,299431,100.0,3,12,,,,,,,,,,,0,false
dim_product_brands,id,bigint,299431,0.0,299431,100.0,-1,528595,262971.48355794075,152564.80084889,4755.17,131354.5,262209.0,394916.75,502821.14999999997,523511.83,0,1,,false
dim_product_brands,source_refs,jsonb,299431,0.0,,,,,,,,,,,,,,,,false
dim_product_brands,batch_id,bigint,299431,0.0,7279,2.431,0,241706,117803.54883799706,68773.73847611,3109.0,58579.0,116278.0,175981.0,229478.0,239290.0,1,0,,false
dim_product_brands,valid_from,timestamp with time zone,299431,0.0,7279,2.431,2026-06-09 08:10:04.239121+00,2026-08-28 09:10:51.609869+00,,,,,,,,,,,,false
dim_product_brands,valid_to,timestamp with time zone,299431,5.59,7231,2.558,2026-06-10 03:11:05.925387+00,2026-08-28 09:10:50.581655+00,,,,,,,,,,,,false
dim_product_brands,is_current,boolean,299431,0.0,2,0.001,,,,,,,,,,,,,,false
dim_product_brands,created_at,timestamp with time zone,299431,0.0,7279,2.431,2026-06-09 08:10:04.239126+00,2026-08-28 09:10:51.609869+00,,,,,,,,,,,,false
dim_product_brands,updated_at,timestamp with time zone,299431,0.0,11068,3.696,2026-06-09 08:10:04.239127+00,2026-08-28 09:10:51.609869+00,,,,,,,,,,,,false
dim_product_prices,id,bigint,9085,0.0,9085,100.0,675802,684886,680344.0,2622.613581906416,675892.84,678073.0,680344.0,682615.0,684431.8,684795.16,0,0,,false
dim_product_prices,batch_id,bigint,9085,0.0,1,0.011,240246,240246,240246.0,0.0,240246.0,240246.0,240246.0,240246.0,240246.0,240246.0,0,0,,true
dim_product_prices,source_refs,jsonb,9085,0.0,,,,,,,,,,,,,,,,false
dim_product_prices,product_id,bigint,9085,0.0,678,7.463,901,2541,1896.6901485965877,261.077627646435,1347.84,1709.0,1913.0,2042.0,2347.0,2511.0,0,0,,false
