hang,truong,dang,loai,so_gia_tri_khac_nhau,khuyet_pct,thong_tin_tuong_ho_bit,phan_bat_dinh_giai_thich,ghi_chu
88,promo_count,số,biết trước kỳ,9,0.501,0.0227,0.0147,—
89,flag_promo_regime,phân loại,biết trước kỳ,2,0.0,0.0163,0.0105,—
90,visit_days,số,biết sau kỳ,30,0.0,0.0161,0.0104,—
91,freezer_count,số,biết trước kỳ,8,0.0,0.0152,0.0098,—
92,freezer_capacity,phân loại,biết trước kỳ,13,47.468,0.0142,0.0092,—
93,planned_visit_days,số,biết trước kỳ,30,55.798,0.0138,0.0089,—
94,dlv_shipper_count,số,biết sau kỳ,20,95.043,0.0131,0.0085,—
95,promo_allocation_level,phân loại,biết trước kỳ,4,36.588,0.0131,0.0085,—
96,has_visit_data,số,biết sau kỳ,2,0.0,0.0118,0.0076,—
97,promo_has_gift,số,biết trước kỳ,3,0.501,0.0098,0.0063,—
98,avg_delivery_sla_days,số,biết sau kỳ,93,99.183,0.0078,0.005,—
99,working_days,số,biết trước kỳ,4,0.0,0.0073,0.0048,—
100,in_stock_days,số,biết sau kỳ,31,0.0,0.0067,0.0044,—
101,flag_suspect_month,số,định danh,2,0.0,0.0058,0.0038,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
102,stock_tracked_days,số,biết sau kỳ,28,0.0,0.0049,0.0032,—
103,stock_source,phân loại,biết sau kỳ,2,84.525,0.0049,0.0032,—
104,calendar_days,số,biết trước kỳ,3,0.0,0.0046,0.003,—
105,dlv_warehouse_confirmed_lines,số,biết sau kỳ,27,95.043,0.0046,0.0029,—
106,has_stock_data,số,biết sau kỳ,2,0.0,0.0038,0.0024,—
107,promo_has_price_cut,số,biết trước kỳ,3,0.501,0.0038,0.0024,—
108,site_domain_level,số,định danh,2,0.0,0.0026,0.0017,"ĐỊNH DANH — điểm là do ghi nhớ, không phải sức dự báo"
109,visit_compliance_rate,số,biết sau kỳ,90,55.798,0.0016,0.001,—
110,has_promo_data,số,biết trước kỳ,3,0.035,0.0012,0.0008,—
111,visiting_rep_count,số,biết sau kỳ,6,55.798,0.0008,0.0005,—
112,stockout_days,số,biết sau kỳ,17,0.0,0.0,0.0,—
113,tax_rate,số,biết trước kỳ,1,0.0,0.0,0.0,—
114,admin_canceled_line_count,số,biết sau kỳ,2,0.0,0.0,0.0,—
115,dlv_avg_attempts,số,biết sau kỳ,14,95.043,0.0,0.0,—
116,account_status,—,biết trước kỳ,1,0.0,,,rỗng hoàn toàn hoặc hằng số — không xét được
117,store_group_code,—,biết trước kỳ,1,0.0,,,rỗng hoàn toàn hoặc hằng số — không xét được
118,is_legal_entity,—,biết trước kỳ,1,0.0,,,rỗng hoàn toàn hoặc hằng số — không xét được
