bang,truong,dang,so_dong_mau,khuyet_pct,so_gia_tri_khac_nhau,diem_thong_tin,danh_gia
fact_weather_forecast,date,phân loại,20000,0.0,2355,1.8561,thông tin phong phú
dms_notify_ledger,last_notified_at,phân loại,20000,0.0,2546,1.8111,thông tin phong phú
fact_order_lines,created_at,phân loại,20000,0.0,2798,1.8057,thông tin phong phú
dim_shippers,updated_at,phân loại,20000,0.0,2262,1.7533,thông tin phong phú
dim_shippers,valid_to,phân loại,20000,0.06,2257,1.7519,thông tin phong phú
fact_order_lines,updated_at,phân loại,20000,0.0,2481,1.7478,thông tin phong phú
dim_shippers,created_at,phân loại,20000,0.0,2032,1.738,thông tin phong phú
dim_shippers,valid_from,phân loại,20000,0.155,2031,1.7351,thông tin phong phú
dim_products,product_code,phân loại,2543,0.0,1275,1.7188,thông tin phong phú
dim_products,source_refs,phân loại,2543,0.0,1275,1.7188,thông tin phong phú
dim_products,product_name,phân loại,2543,0.0,1259,1.7146,thông tin phong phú
dim_product_brands,updated_at,phân loại,20000,0.0,1926,1.7073,thông tin phong phú
dim_product_brands,valid_from,phân loại,20000,0.0,1543,1.6832,thông tin phong phú
dim_product_brands,created_at,phân loại,20000,0.0,1543,1.6832,thông tin phong phú
dim_employees,row_hash,phân loại,6699,0.0,1473,1.6743,thông tin phong phú
fact_inventory_lot_snapshot,lot_code,phân loại,20000,0.0,4902,1.6739,thông tin phong phú
dim_product_brands,valid_to,phân loại,20000,5.83,1474,1.5704,thông tin phong phú
fact_asset_inventory,shop_code,phân loại,20000,27.55,11182,1.562,thông tin phong phú
fact_delivery_details,trip_code,phân loại,20000,1.01,1099,1.5534,thông tin phong phú
dim_employees,employee_name,phân loại,6699,0.0,767,1.528,thông tin phong phú
dim_employees,employee_code,phân loại,6699,0.0,749,1.5271,thông tin phong phú
dim_employees,source_refs,phân loại,6699,0.0,749,1.5271,thông tin phong phú
dim_stores,created_at,phân loại,20000,0.0,872,1.4842,thông tin phong phú
dim_stores,updated_at,phân loại,20000,0.0,1000,1.4671,thông tin phong phú
dim_product_prices,source_refs,phân loại,9085,0.0,678,1.4535,thông tin phong phú
dim_product_prices,product_code,phân loại,9085,0.0,678,1.4535,thông tin phong phú
dim_stores,address,phân loại,20000,33.75,9168,1.4286,thông tin phong phú
dim_price_lists,row_hash,phân loại,364,0.0,364,1.418,thông tin phong phú
dim_price_lists,price_list_code,phân loại,364,0.0,362,1.4161,thông tin phong phú
dim_price_lists,source_refs,phân loại,364,0.0,362,1.4161,thông tin phong phú
dim_price_lists,price_list_name,phân loại,364,0.0,361,1.4152,thông tin phong phú
fact_asset_inventory,qr_code,phân loại,20000,8.1,11129,1.3947,thông tin phong phú
fact_asset_inventory,source_updated_at,phân loại,20000,0.0,1036,1.3866,thông tin phong phú
dim_locators,locator_code,phân loại,315,0.0,315,1.3832,thông tin phong phú
dim_locators,locator_name,phân loại,315,0.0,314,1.3821,thông tin phong phú
dim_categories,category_code,phân loại,277,0.0,277,1.3523,thông tin phong phú
dim_categories,row_hash,phân loại,277,0.0,277,1.3523,thông tin phong phú
dim_categories,source_refs,phân loại,277,0.0,277,1.3523,thông tin phong phú
dim_categories,category_name,phân loại,277,0.0,276,1.3511,thông tin phong phú
fact_inventory_lot_snapshot,product_code_raw,phân loại,20000,0.0,626,1.3511,thông tin phong phú
fact_sales_targets,created_at,phân loại,270,0.0,270,1.3461,thông tin phong phú
fact_sales_targets,updated_at,phân loại,270,0.0,270,1.3461,thông tin phong phú
fact_roadmaps,code,phân loại,268,0.0,268,1.3443,thông tin phong phú
fact_roadmaps,source_refs,phân loại,268,0.0,268,1.3443,thông tin phong phú
fact_roadmaps,name,phân loại,268,0.0,262,1.3364,thông tin phong phú
fact_order_fulfillment,delivery_date,phân loại,20000,21.38,3645,1.3135,thông tin phong phú
dim_sub_inventories,row_hash,phân loại,188,0.0,188,1.2591,thông tin phong phú
fact_visits,planned_start_date,phân loại,20000,0.0,219,1.2447,thông tin phong phú
fact_visits,planned_end_date,phân loại,20000,0.0,219,1.2447,thông tin phong phú
fact_visits,created_at,phân loại,20000,0.0,219,1.2447,thông tin phong phú
dim_sub_inventories,sub_inventory_name,phân loại,188,1.064,187,1.2432,thông tin phong phú
fact_roadmap_stores,roadmap_code,phân loại,17942,0.0,263,1.2362,thông tin phong phú
dim_product_brands,brand_name,phân loại,20000,0.0,138,1.1832,thông tin phong phú
dim_product_brands,row_hash,phân loại,20000,0.0,138,1.1832,thông tin phong phú
dim_product_brands,source_refs,phân loại,20000,0.0,138,1.1832,thông tin phong phú
dim_site_domains,site_domain_code,phân loại,137,0.0,137,1.183,thông tin phong phú
dim_site_domains,site_domain_path,phân loại,137,0.0,137,1.183,thông tin phong phú
dim_site_domains,site_domain_name,phân loại,137,0.0,136,1.1806,thông tin phong phú
dim_locators,sub_inventory_code,phân loại,315,0.635,168,1.1673,thông tin phong phú
dim_account_channels,channel_code,phân loại,127,0.0,127,1.1648,thông tin phong phú
dim_account_channels,channel_path,phân loại,127,0.0,127,1.1648,thông tin phong phú
dim_sub_inventories,source_refs,phân loại,188,0.0,118,1.1343,thông tin phong phú
dim_sub_inventories,sub_inventory_code,phân loại,188,0.0,117,1.1319,thông tin phong phú
fact_inventory_lot_snapshot,created_at,phân loại,20000,0.0,135,1.121,thông tin phong phú
fact_order_status_timeline,completed_full_at,phân loại,20000,42.885,5501,1.1206,thông tin phong phú
dim_delivery_status,row_hash,phân loại,103,0.0,103,1.1144,thông tin phong phú
fact_order_lines,product_code,phân loại,20000,0.0,326,1.0912,thông tin phong phú
fact_promo_budget_available,promotion_code,phân loại,20000,0.0,326,1.0788,thông tin phong phú
dim_account_channels,channel_name,phân loại,127,0.0,94,1.0782,thông tin phong phú
fact_promo_budget_available,promotion_name,phân loại,20000,0.0,318,1.0756,thông tin phong phú
fact_inventory_lot_snapshot,expiry_date,phân loại,20000,30.005,890,1.0626,thông tin phong phú
zz_archive_om_orphans_20260804,product_code,phân loại,446,0.0,110,1.0491,thông tin phong phú
dim_products,updated_at,phân loại,2543,0.0,1282,1.0346,thông tin phong phú
dim_shippers,row_hash,phân loại,20000,0.0,164,1.0201,thông tin phong phú
dim_shippers,shipper_code,phân loại,20000,0.0,93,1.013,thông tin phong phú
dim_shippers,shipper_name,phân loại,20000,0.0,93,1.013,thông tin phong phú
dim_product_brands,brand_code,phân loại,20000,0.0,67,1.0057,thông tin phong phú
dim_assets,id,số,20000,0.0,20000,1.0,thông tin phong phú
dim_assets,is_current,phân loại,20000,0.0,2,1.0,thông tin phong phú
dim_chains,id,số,9638,0.0,9638,1.0,thông tin phong phú
dim_dates,date_key,số,4018,0.0,4018,1.0,thông tin phong phú
dim_dates,id,số,4018,0.0,4018,1.0,thông tin phong phú
dim_delivery_types,delivery_type_code,phân loại,5,0.0,5,1.0,thông tin phong phú
dim_delivery_types,delivery_type_name,phân loại,5,0.0,5,1.0,thông tin phong phú
dim_delivery_types,id,số,5,0.0,5,1.0,thông tin phong phú
dim_employees,id,số,6699,0.0,6699,1.0,thông tin phong phú
dim_order_status,status_code,phân loại,10,0.0,10,1.0,thông tin phong phú
dim_order_status,status_name,phân loại,10,0.0,10,1.0,thông tin phong phú
dim_order_status,description,phân loại,10,0.0,10,1.0,thông tin phong phú
dim_order_status,sort_order,số,10,0.0,10,1.0,thông tin phong phú
dim_order_status,id,số,10,0.0,10,1.0,thông tin phong phú
dim_order_types,order_type_code,phân loại,15,0.0,15,1.0,thông tin phong phú
dim_order_types,order_type_name,phân loại,15,0.0,15,1.0,thông tin phong phú
dim_order_types,description,phân loại,15,0.0,15,1.0,thông tin phong phú
dim_order_types,sort_order,số,15,0.0,15,1.0,thông tin phong phú
dim_order_types,id,số,15,0.0,15,1.0,thông tin phong phú
dim_otif_reason,reason_text,phân loại,22,0.0,22,1.0,thông tin phong phú
dim_otif_reason,id,số,22,0.0,22,1.0,thông tin phong phú
dim_product_brands,id,số,20000,0.0,20000,1.0,thông tin phong phú
dim_product_prices,id,số,9085,0.0,9085,1.0,thông tin phong phú
dim_products,id,số,2543,0.0,2543,1.0,thông tin phong phú
dim_products,is_current,phân loại,2543,0.0,2,1.0,thông tin phong phú
dim_sales_positions,id,số,7,0.0,7,1.0,thông tin phong phú
dim_sales_positions,position_code,phân loại,7,0.0,7,1.0,thông tin phong phú
dim_sales_positions,position_name,phân loại,7,0.0,7,1.0,thông tin phong phú
dim_shippers,id,số,20000,0.0,20000,1.0,thông tin phong phú
dim_site_accounts,site_account_code,phân loại,7,0.0,7,1.0,thông tin phong phú
dim_site_accounts,site_account_name,phân loại,7,0.0,7,1.0,thông tin phong phú
dim_site_accounts,id,số,7,0.0,7,1.0,thông tin phong phú
dim_stores,id,số,20000,0.0,20000,1.0,thông tin phong phú
dim_suppliers,supplier_code,phân loại,63,0.0,63,1.0,thông tin phong phú
dim_suppliers,supplier_name,phân loại,63,0.0,63,1.0,thông tin phong phú
dim_suppliers,row_hash,phân loại,63,0.0,63,1.0,thông tin phong phú
dim_suppliers,id,số,63,0.0,63,1.0,thông tin phong phú
dim_suppliers,source_refs,phân loại,63,0.0,63,1.0,thông tin phong phú
dim_warehouses,warehouse_code,phân loại,39,0.0,39,1.0,thông tin phong phú
dim_warehouses,warehouse_name,phân loại,39,0.0,39,1.0,thông tin phong phú
dim_warehouses,row_hash,phân loại,39,0.0,39,1.0,thông tin phong phú
dim_warehouses,id,số,39,0.0,39,1.0,thông tin phong phú
dim_warehouses,source_refs,phân loại,39,0.0,39,1.0,thông tin phong phú
dim_weather_locations,city_name,phân loại,64,0.0,64,1.0,thông tin phong phú
dim_weather_locations,id,số,64,0.0,64,1.0,thông tin phong phú
dim_weather_locations,created_at,phân loại,64,0.0,64,1.0,thông tin phong phú
dim_weather_locations,updated_at,phân loại,64,0.0,64,1.0,thông tin phong phú
dwh_batch_logs,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_asset_audits,visit_id,số,20000,0.0,17780,1.0,thông tin phong phú
fact_asset_audits,shop_id,số,20000,0.0,6912,1.0,thông tin phong phú
fact_asset_audits,asset_id,số,20000,0.0,7801,1.0,thông tin phong phú
fact_asset_audits,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_asset_inventory,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_asset_inventory,source_id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_delivery_details,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_inventory_daily_balances,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_inventory_lot_snapshot,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_inventory_transactions,transaction_id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_inventory_transactions,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_order_fulfillment,store_key,số,20000,0.0,10254,1.0,thông tin phong phú
fact_order_fulfillment,order_source,phân loại,20000,0.0,2,1.0,thông tin phong phú
fact_order_fulfillment,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_order_lines,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_order_status_timeline,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_promo_budget_available,ctkm_type,phân loại,20000,0.0,2,1.0,thông tin phong phú
fact_promo_budget_available,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_roadmap_stores,store_id,số,17942,0.0,17942,1.0,thông tin phong phú
fact_roadmap_stores,id,số,17942,0.0,17942,1.0,thông tin phong phú
fact_visits,source_id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_visits,id,số,20000,0.0,20000,1.0,thông tin phong phú
fact_weather_forecast,id,số,20000,0.0,20000,1.0,thông tin phong phú
dim_dates,week,số,4018,0.0,53,0.9999,thông tin phong phú
zz_archive_om_orphans_20260804,id,số,446,0.0,446,0.9999,thông tin phong phú
dim_locators,is_priced,phân loại,315,0.0,2,0.9998,thông tin phong phú
dim_shippers,batch_id,số,20000,0.005,2032,0.9998,thông tin phong phú
fact_order_fulfillment,total_net_revenue,số,20000,0.0,11310,0.9998,thông tin phong phú
dim_product_brands,batch_id,số,20000,0.0,1543,0.9997,thông tin phong phú
fact_order_lines,store_key,số,20000,0.0,5752,0.9997,thông tin phong phú
dim_locators,id,số,315,0.0,315,0.9996,thông tin phong phú
fact_order_fulfillment,total_vat,số,20000,0.0,10341,0.9996,thông tin phong phú
dim_account_channels,id,số,127,0.0,127,0.9994,thông tin phong phú
fact_delivery_details,store_key,số,20000,0.0,3508,0.9994,thông tin phong phú
fact_order_fulfillment,total_amount,số,20000,0.0,11229,0.9993,thông tin phong phú
dim_price_lists,id,số,364,0.0,364,0.9992,thông tin phong phú
dim_sub_inventories,id,số,188,0.0,188,0.9991,thông tin phong phú
dim_dates,day,số,4018,0.0,31,0.999,thông tin phong phú
fact_roadmaps,id,số,268,0.0,268,0.999,thông tin phong phú
fact_sales_targets,target_date_id,số,270,0.0,270,0.9989,thông tin phong phú
fact_sales_targets,id,số,270,0.0,270,0.9989,thông tin phong phú
fact_order_fulfillment,total_before_discount,số,20000,0.0,10450,0.9988,thông tin phong phú
dim_categories,id,số,277,0.0,277,0.9986,thông tin phong phú
dim_weather_locations,latitude,số,64,0.0,63,0.9986,thông tin phong phú
fact_order_lines,order_date_key,số,20000,0.0,484,0.9986,thông tin phong phú
zz_archive_om_orphans_20260804,order_code,phân loại,446,0.0,99,0.9985,thông tin phong phú
zz_archive_om_orphans_20260804,ora_order_no,phân loại,446,0.0,99,0.9985,thông tin phong phú
fact_inventory_lot_snapshot,product_id,số,20000,0.0,998,0.9983,thông tin phong phú
fact_order_fulfillment,order_date_key,số,20000,0.0,490,0.9982,thông tin phong phú
dim_product_prices,product_id,số,9085,0.0,678,0.9973,thông tin phong phú
dim_site_domains,id,số,137,0.0,137,0.9971,thông tin phong phú
fact_visits,salesman_id,số,20000,0.0,497,0.9961,thông tin phong phú
dim_shippers,license_plate,phân loại,20000,0.035,143,0.996,thông tin phong phú
fact_visits,shop_id,số,20000,0.0,9415,0.9952,thông tin phong phú
fact_visits,date_key,số,20000,0.0,219,0.9942,thông tin phong phú
dim_weather_locations,longitude,số,64,0.0,61,0.9939,thông tin phong phú
fact_weather_forecast,temperature_min,số,20000,0.0,263,0.9936,thông tin phong phú
fact_weather_forecast,temperature_max,số,20000,0.0,303,0.9932,thông tin phong phú
dim_product_prices,price_excl_vat,số,9085,0.0,2061,0.9931,thông tin phong phú
dim_product_prices,price_incl_vat,số,9085,0.0,2045,0.993,thông tin phong phú
fact_inventory_daily_balances,product_id,số,20000,0.0,242,0.9917,thông tin phong phú
fact_delivery_details,shipper_key,số,20000,0.0,906,0.9903,thông tin phong phú
fact_delivery_details,created_date_key,số,20000,0.0,146,0.9903,thông tin phong phú
fact_delivery_details,date_key,số,20000,0.0,145,0.9901,thông tin phong phú
fact_weather_forecast,location_id,số,20000,0.0,56,0.9897,thông tin phong phú
fact_inventory_daily_balances,date_key,số,20000,0.0,49,0.9884,thông tin phong phú
dim_delivery_status,id,số,103,0.0,103,0.9882,thông tin phong phú
fact_inventory_lot_snapshot,date_key,số,20000,0.0,79,0.9881,thông tin phong phú
dim_dates,month,số,4018,0.0,12,0.9879,thông tin phong phú
dim_dates,year,số,4018,0.0,11,0.9867,thông tin phong phú
dim_dates,fiscal_year,số,4018,0.0,11,0.9867,thông tin phong phú
dim_distributors,id,số,89,0.0,89,0.9857,thông tin phong phú
fact_inventory_transactions,date_key,số,20000,0.0,194,0.9848,thông tin phong phú
fact_weather_forecast,latitude,số,20000,0.0,56,0.9848,thông tin phong phú
fact_order_lines,product_key,số,20000,0.0,516,0.9842,thông tin phong phú
fact_order_fulfillment,salesman_id,số,20000,0.0,583,0.9833,thông tin phong phú
fact_weather_forecast,longitude,số,20000,0.0,54,0.9818,thông tin phong phú
fact_order_fulfillment,raw_created_at,phân loại,20000,49.815,4691,0.9815,thông tin phong phú
fact_inventory_daily_balances,updated_at,phân loại,20000,0.0,49,0.9804,thông tin phong phú
zz_archive_om_orphans_20260804,product_key,số,446,0.0,149,0.9793,thông tin phong phú
fact_inventory_lot_snapshot,brand_id,phân loại,20000,0.0,1098,0.9784,thông tin phong phú
fact_promo_budget_available,region_name_raw,phân loại,20000,0.43,5,0.9779,thông tin phong phú
dim_sales_positions,power_level,số,7,0.0,6,0.9755,thông tin phong phú
fact_inventory_daily_balances,created_at,phân loại,20000,0.0,50,0.9755,thông tin phong phú
fact_inventory_daily_balances,warehouse_id,số,20000,0.0,26,0.9729,thông tin phong phú
fact_order_lines,salesman_id,số,20000,0.0,557,0.9725,thông tin phong phú
dim_order_status,is_closed,phân loại,10,0.0,2,0.971,thông tin phong phú
fact_delivery_details,product_key,số,20000,0.0,407,0.9709,thông tin phong phú
dim_product_prices,price_group_code,phân loại,9085,0.0,183,0.9705,thông tin phong phú
dim_order_status,bucket_group,phân loại,10,0.0,5,0.9675,thông tin phong phú
fact_promo_budget_available,order_date_key,số,20000,0.43,71,0.9666,thông tin phong phú
dim_product_prices,price_group_name,phân loại,9085,0.0,182,0.966,thông tin phong phú
fact_inventory_transactions,order_id,số,20000,3.49,5533,0.965,thông tin phong phú
fact_roadmap_stores,route_manager_employee_id,số,17942,0.072,46,0.963,thông tin phong phú
fact_promo_budget_available,invoice_date_key,số,20000,2.185,73,0.9608,thông tin phong phú
zz_archive_om_orphans_20260804,amount_before_discount_before_vat,số,446,0.0,204,0.9605,thông tin phong phú
zz_archive_om_orphans_20260804,amount_incl_vat,số,446,0.0,204,0.9605,thông tin phong phú
zz_archive_om_orphans_20260804,vat_amount,số,446,0.0,202,0.9605,thông tin phong phú
fact_order_lines,order_source,phân loại,20000,0.0,2,0.9604,thông tin phong phú
fact_delivery_details,employee_key,số,20000,0.0,269,0.96,thông tin phong phú
fact_inventory_lot_snapshot,qty_primary,số,20000,0.0,2306,0.9595,thông tin phong phú
dim_sub_inventories,is_current,phân loại,188,0.0,2,0.9564,thông tin phong phú
fact_sales_targets,target_visit_count,số,270,0.0,187,0.9557,thông tin phong phú
fact_delivery_details,docs_status,phân loại,20000,0.0,2,0.9541,thông tin phong phú
zz_archive_om_orphans_20260804,store_key,số,446,0.0,84,0.9523,thông tin phong phú
fact_order_status_timeline,shipping_at,phân loại,20000,52.07,5361,0.9519,thông tin phong phú
dim_products,brand_id,phân loại,2543,0.118,218,0.9492,thông tin phong phú
dim_otif_reason,cancel_nature,phân loại,22,4.545,21,0.9491,thông tin phong phú
fact_roadmaps,region_code,phân loại,268,0.0,7,0.9441,thông tin phong phú
fact_roadmaps,region_name,phân loại,268,0.0,7,0.9441,thông tin phong phú
dim_dates,quarter,số,4018,0.0,4,0.944,thông tin phong phú
dim_employees,batch_id,số,6699,0.0,94,0.9428,thông tin phong phú
fact_inventory_transactions,product_id,số,20000,0.0,254,0.9428,thông tin phong phú
dwh_batch_logs,target_table,phân loại,20000,0.0,43,0.9394,thông tin phong phú
zz_archive_om_orphans_20260804,unit_price_before_vat,số,446,0.0,116,0.9393,thông tin phong phú
fact_delivery_details,license_plate,phân loại,20000,0.005,140,0.935,thông tin phong phú
dim_product_brands,parent_brand_id,số,20000,1.375,55,0.9338,thông tin phong phú
zz_archive_om_orphans_20260804,warehouse_key,số,446,0.0,5,0.9281,thông tin phong phú
dim_site_domains,parent_code,phân loại,137,0.73,29,0.9205,thông tin phong phú
dim_order_types,is_free_order,phân loại,15,0.0,2,0.9183,thông tin phong phú
fact_order_fulfillment,total_delivered_revenue,số,20000,0.0,8812,0.9177,thông tin phong phú
fact_order_lines,amount_incl_vat,số,20000,0.0,3508,0.9171,thông tin phong phú
fact_order_lines,net_revenue,số,20000,0.0,3380,0.9169,thông tin phong phú
fact_order_lines,vat_amount,số,20000,0.0,3399,0.9167,thông tin phong phú
dim_product_prices,is_current,phân loại,9085,0.0,2,0.9162,thông tin phong phú
fact_order_lines,amount_before_discount,số,20000,0.0,2464,0.9093,thông tin phong phú
fact_roadmaps,employee_id,số,268,0.0,211,0.9092,thông tin phong phú
dim_otif_reason,classification_rationale,phân loại,22,9.091,21,0.9091,thông tin phong phú
fact_roadmaps,store_count,số,268,0.0,125,0.9091,thông tin phong phú
fact_order_lines,amount_before_discount_before_vat,số,20000,0.0,2581,0.909,thông tin phong phú
fact_order_lines,unit_price_after_discount_after_vat,số,20000,0.0,1841,0.9065,thông tin phong phú
fact_order_lines,unit_price_after_discount_before_vat,số,20000,0.0,1567,0.9044,thông tin phong phú
fact_inventory_lot_snapshot,locator_id,số,20000,0.0,76,0.9035,thông tin phong phú
fact_delivery_details,completed_date_key,số,20000,8.655,143,0.9026,thông tin phong phú
fact_visits,travel_duration_minutes,số,20000,0.0,2641,0.9013,thông tin phong phú
fact_visits,travel_distance_km,số,20000,0.0,1554,0.8995,thông tin phong phú
dim_distributors,is_current,phân loại,89,0.0,2,0.8984,thông tin phong phú
fact_inventory_transactions,total_amount,số,20000,0.0,1173,0.8983,thông tin phong phú
zz_archive_om_orphans_20260804,sales_qty,số,446,0.0,79,0.8976,thông tin phong phú
fact_inventory_transactions,warehouse_id,số,20000,0.0,23,0.8959,thông tin phong phú
dim_locators,is_sellable_stock,phân loại,315,0.0,2,0.8945,thông tin phong phú
fact_delivery_details,qty_delivered,số,20000,0.0,274,0.8941,thông tin phong phú
zz_archive_om_orphans_20260804,salesman_id,số,446,0.0,46,0.8937,thông tin phong phú
fact_order_lines,shipped_qty,số,20000,0.0,297,0.8893,thông tin phong phú
fact_roadmaps,route_manager_employee_id,số,268,0.746,46,0.889,thông tin phong phú
dim_stores,is_legal_entity,phân loại,20000,0.0,2,0.8864,thông tin phong phú
fact_visits,working_time_minutes,số,20000,11.57,4458,0.8842,thông tin phong phú
dim_order_status,is_revenue_recognized,phân loại,10,0.0,2,0.8813,thông tin phong phú
fact_order_lines,unit_price,số,20000,0.0,647,0.8812,thông tin phong phú
fact_order_lines,unit_price_before_vat,số,20000,0.0,711,0.8811,thông tin phong phú
fact_delivery_details,qty_so,số,20000,0.0,279,0.8805,thông tin phong phú
dim_stores,valid_to,phân loại,20000,8.265,636,0.8799,thông tin phong phú
dim_otif_reason,impact_type,phân loại,22,4.545,4,0.8797,thông tin phong phú
dim_otif_reason,revenue_impact,phân loại,22,4.545,4,0.8797,thông tin phong phú
fact_roadmap_stores,employee_id,số,17942,0.0,209,0.8782,thông tin phong phú
fact_inventory_lot_snapshot,barcode,phân loại,20000,29.995,332,0.8772,thông tin phong phú
fact_delivery_details,qty_received,số,20000,0.0,279,0.8763,thông tin phong phú
fact_order_lines,sales_qty,số,20000,0.0,305,0.8749,thông tin phong phú
dim_stores,batch_id,số,20000,0.0,477,0.8738,thông tin phong phú
fact_inventory_transactions,quantity,số,20000,0.0,280,0.8674,thông tin phong phú
fact_inventory_transactions,unit_price,số,20000,0.0,138,0.8665,thông tin phong phú
dim_dates,is_working_day,phân loại,4018,0.0,2,0.8631,thông tin phong phú
dim_dates,is_weekend,phân loại,4018,0.0,2,0.8631,thông tin phong phú
fact_weather_forecast,precipitation_day_sum,số,20000,0.0,971,0.8573,thông tin phong phú
