nguon,la_bang_fact,bang,cot,dang,vai_tro,khuyet_pct,so_gia_tri,luc_luong_pct,hang_so,mo_coi_pct,tre_ngay,diem_thong_tin,danh_gia,tac_dung,muc_bang_chung,cong_vo_dung,can_cu_tac_dung,day_du,cong_thieu,he_qua_neu_bo_qua,quyet_dinh_panel,phan_loai,vao_panel,viec_phai_lam
lược đồ dwh,true,fact_order_lines,order_timestamp,phân loại,thời gian — dẫn xuất đặc trưng,0.0,127099.0,42.76,false,,0.0,2.1583,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_order_lines,dms_order_code,phân loại,khoá ngoại — dùng như biến phân loại,3.965,122091.0,42.771,false,,0.0,2.0592,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_stores,store_name,phân loại,đặc trưng,0.0,44612.0,14.802,false,,,2.05,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_stores` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_delivery_details,delivery_note_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,80365.0,26.68,false,,-1446.0,2.0308,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_delivery_details,so_number,phân loại,đặc trưng,0.0,78281.0,25.988,false,,-1446.0,2.0302,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_products,product_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,1275.0,50.138,false,,,1.7188,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_products` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_products,product_name,phân loại,đặc trưng,0.0,1259.0,49.508,false,,,1.7146,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_products` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_inventory_lot_snapshot,lot_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,7920.0,2.625,false,,0.0,1.6739,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_delivery_details,trip_code,phân loại,khoá ngoại — dùng như biến phân loại,1.195,4512.0,1.516,false,,-1446.0,1.5534,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_delivery_details` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
bảng phẳng,true,panel_mt,shipped_qty,số,đặc trưng,0.0,1721.0,,false,,,1.5373,,CẦN THIẾT,ĐO ĐƯỢC,—,8/8 thước đo xếp vào nửa trên,ĐỦ,—,Không vướng cổng nào.,CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_employees,employee_name,phân loại,đặc trưng,0.0,767.0,11.449,false,,,1.528,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_employees` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_employees,employee_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,749.0,11.181,false,,,1.5271,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_employees` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
bảng phẳng,true,panel_mt,amount_incl_vat,số,đặc trưng,0.0,27362.0,,false,,,1.4498,,CẦN THIẾT,ĐO ĐƯỢC,—,8/8 thước đo xếp vào nửa trên,ĐỦ,—,Không vướng cổng nào.,CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_stores,address,phân loại,đặc trưng,32.502,36787.0,18.083,false,,,1.4286,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_stores` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
bảng phẳng,true,panel_mt,vat_amount,số,đặc trưng,0.0,26913.0,,false,,,1.4263,,CẦN THIẾT,ĐO ĐƯỢC,—,8/8 thước đo xếp vào nửa trên,ĐỦ,—,Không vướng cổng nào.,CHUYỂN THÀNH LAG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_locators,locator_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,315.0,100.0,false,,,1.3832,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_locators,locator_name,phân loại,đặc trưng,0.0,314.0,99.683,false,,,1.3821,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_categories,category_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,277.0,100.0,false,,,1.3523,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_categories` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_categories,category_name,phân loại,đặc trưng,0.0,276.0,99.639,false,,,1.3511,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_categories` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_inventory_lot_snapshot,product_code_raw,phân loại,đặc trưng,0.0,691.0,0.229,false,,0.0,1.3511,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_order_fulfillment,delivery_date,phân loại,thời gian — dẫn xuất đặc trưng,43.617,32359.0,19.115,false,,0.0,1.3135,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_order_fulfillment` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
bảng phẳng,true,panel_mt,sales_qty_carton,số,đặc trưng,0.0,2346.0,,false,,,1.2924,,CẦN THIẾT,ĐO ĐƯỢC,—,8/8 thước đo xếp vào nửa trên,ĐỦ,—,Không vướng cổng nào.,NHÃN,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_visits,planned_start_date,phân loại,thời gian — dẫn xuất đặc trưng,0.0,265.0,0.087,false,,-3.0,1.2447,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_visits,planned_end_date,phân loại,thời gian — dẫn xuất đặc trưng,0.0,265.0,0.087,false,,-3.0,1.2447,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_visits` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_sub_inventories,sub_inventory_name,phân loại,đặc trưng,1.064,186.0,100.0,false,,,1.2432,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_sub_inventories` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_product_brands,brand_name,phân loại,đặc trưng,0.0,222.0,0.074,false,,,1.1832,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_product_brands` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_site_domains,site_domain_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,137.0,100.0,false,,,1.183,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_site_domains` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_site_domains,site_domain_path,phân loại,đặc trưng,0.0,137.0,100.0,false,,,1.183,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_site_domains` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_site_domains,site_domain_name,phân loại,đặc trưng,0.0,136.0,99.27,false,,,1.1806,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_site_domains` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_locators,sub_inventory_code,phân loại,khoá ngoại — dùng như biến phân loại,0.635,167.0,53.355,false,,,1.1673,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_locators` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_account_channels,channel_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,127.0,100.0,false,,,1.1648,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_account_channels` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_account_channels,channel_path,phân loại,đặc trưng,0.0,127.0,100.0,false,,,1.1648,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_account_channels` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_sub_inventories,sub_inventory_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,117.0,62.234,false,,,1.1319,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_sub_inventories` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_order_lines,product_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,512.0,0.172,false,,0.0,1.0912,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_order_lines` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_account_channels,channel_name,phân loại,đặc trưng,0.0,94.0,74.016,false,,,1.0782,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_account_channels` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,DÙNG,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,true,fact_inventory_lot_snapshot,expiry_date,phân loại,thời gian — dẫn xuất đặc trưng,36.087,961.0,0.498,false,,0.0,1.0626,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `fact_inventory_lot_snapshot` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_shippers,shipper_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,99.0,0.173,false,,,1.013,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_shippers` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_shippers,shipper_name,phân loại,đặc trưng,0.0,100.0,0.175,false,,,1.013,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_shippers` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_product_brands,brand_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,203.0,0.068,false,,,1.0057,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_product_brands` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_delivery_types,delivery_type_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,5.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_delivery_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_delivery_types,delivery_type_name,phân loại,đặc trưng,0.0,5.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_delivery_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_order_types,order_type_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,15.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_order_types,order_type_name,phân loại,đặc trưng,0.0,15.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_order_types,description,phân loại,đặc trưng,0.0,15.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_order_types,sort_order,số,đặc trưng,0.0,15.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_order_types` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_site_accounts,site_account_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,7.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_site_accounts` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_site_accounts,site_account_name,phân loại,đặc trưng,0.0,7.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_site_accounts` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_suppliers,supplier_code,phân loại,khoá ngoại — dùng như biến phân loại,0.0,63.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_suppliers` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
lược đồ dwh,false,dim_suppliers,supplier_name,phân loại,đặc trưng,0.0,63.0,100.0,false,,,1.0,thông tin phong phú,CẦN THIẾT,CÓ ĐƯỜNG TỚI,—,bảng `dim_suppliers` nối được về hạt; entropy: thông tin phong phú,ĐỦ,—,Không vướng cổng nào.,,NHIỀU TÁC DỤNG · ĐỦ DỮ LIỆU,true,"Đưa vào bảng phẳng, dùng được ngay."
