dac_trung,loai,pearson,hang_pearson,spearman,hang_spearman,spearman_trong_cap,hang_spearman_trong_cap,thong_tin_tuong_ho,hang_thong_tin_tuong_ho,kiem_dinh_f,hang_kiem_dinh_f,rung_ngau_nhien,hang_rung_ngau_nhien,hoan_vi,hang_hoan_vi,hang_dong_thuan,bat_dong,ghi_chu
inv_delivered_revenue,biết sau kỳ,0.0614,36,0.018,64,-0.0243,51,0.0964,27,355.183,42,0.0,45,0.0,59,45.5,37,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
visit_days,biết sau kỳ,-0.0361,46,-0.0804,39,-0.122,29,0.007,72,101.9813,56,0.0,54,0.0,11,46.33,61,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_line_count,biết sau kỳ,0.0714,34,0.1731,30,0.0099,61,0.028,46,695.2241,35,0.0,78,0.0,61,47.33,48,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_max_discount_pct,biết trước kỳ,-0.0727,32,-0.0709,43,0.0439,43,0.028,45,669.8064,36,0.0,52,0.0,76,47.33,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
visit_compliance_rate,biết sau kỳ,0.0416,42,0.0329,52,-0.0196,57,0.0129,61,229.1171,46,0.0,69,0.0,16,47.67,53,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_received_qty,biết sau kỳ,0.032,53,0.0451,45,0.0052,66,0.0313,43,128.7522,53,0.0001,29,0.0,64,47.83,35,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_budget,biết trước kỳ,-0.0471,40,-0.0673,44,0.0433,44,0.0411,37,243.3792,45,0.0,41,0.0,81,48.0,44,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_shipper_count,biết sau kỳ,0.0777,28,0.1076,35,0.0315,48,0.0214,53,867.7058,32,0.0,80,0.0,66,49.0,52,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
stock_tracked_days,biết sau kỳ,-0.0326,50,-0.0324,53,-0.024,52,0.0009,80,101.7446,57,0.0,48,0.0,8,49.33,72,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
in_stock_days,biết sau kỳ,-0.0322,52,-0.0323,54,-0.024,55,0.0022,77,98.3769,59,0.0,51,0.0,7,50.0,70,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_travel_km,biết sau kỳ,-0.0146,66,0.0096,69,0.0027,69,0.0209,54,15.7557,72,0.0,39,0.0,13,52.17,59,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
has_stock_data,biết sau kỳ,-0.0322,51,-0.0322,55,-0.024,54,0.0008,81,99.3688,58,0.0,60,0.0,9,52.33,72,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_ordered_qty,biết sau kỳ,0.0317,54,0.0382,47,0.0061,65,0.0304,44,125.7407,54,0.0,64,0.0,62,54.17,20,—
avg_days_to_delivery,biết sau kỳ,0.0247,59,-0.0198,60,0.0155,58,0.0381,38,84.2875,60,0.0,61,0.0,52,55.0,23,—
avg_travel_minutes,biết sau kỳ,-0.0174,65,0.001,80,-0.0101,60,0.0231,51,25.7524,67,0.0,57,0.0,14,55.67,66,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_shipped_qty,biết sau kỳ,0.0312,56,0.0233,58,0.0011,74,0.0331,40,114.0015,55,0.0,63,0.0,63,55.83,23,—
visiting_rep_count,biết sau kỳ,-0.0195,62,-0.0276,56,0.002,72,0.0108,67,27.6454,65,0.0,70,0.0,17,56.17,53,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_day_ratio,biết trước kỳ,0.0204,61,0.0189,61,0.0533,42,0.0204,55,63.1823,62,0.0,35,0.0,75,58.17,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
shelf_life,biết trước kỳ,0.013,69,0.0165,66,,,0.0118,64,19.6518,68,0.0,62,0.0,22,58.5,47,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
avg_delivery_sla_days,biết sau kỳ,0.0194,63,0.0004,82,-0.0,76,0.0248,49,37.3507,63,0.0,56,0.0,41,59.0,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
qty_per_carton,biết trước kỳ,0.0031,81,0.0058,75,0.0034,68,0.0256,48,0.5195,81,0.0,44,0.0,26,59.17,55,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_warehouse_confirmed_lines,biết sau kỳ,0.039,44,0.0783,40,-0.0026,70,0.0029,76,203.0542,47,0.0,81,0.0,67,59.17,41,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_days,biết trước kỳ,0.0227,60,0.0209,59,0.0567,41,0.007,73,75.7425,61,0.0,31,0.0,74,59.67,43,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
stockout_days,biết sau kỳ,-0.0105,73,-0.0034,77,-0.0023,71,0.0018,78,19.2935,70,0.0,68,0.0,10,62.67,68,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
freezer_count,biết trước kỳ,0.0136,68,0.0016,79,,,0.007,71,27.0302,66,0.0,73,0.0,21,63.0,58,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_has_price_cut,biết trước kỳ,-0.0179,64,-0.0179,65,0.0014,73,0.0097,69,33.9427,64,0.0,38,0.0,78,63.0,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
has_visit_data,biết sau kỳ,0.006,76,0.006,74,,,0.0117,65,6.9138,78,0.0,71,0.0,18,63.67,60,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
conversion_rate,biết trước kỳ,0.0031,82,0.0181,62,,,0.0106,68,0.5192,82,0.0,74,0.0,24,65.33,58,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
tax_rate,biết trước kỳ,0.0,83,,,,,0.0051,74,-14.4646,76,0.0,75,0.0,25,66.6,58,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_forecast_qty,biết trước kỳ,-0.0124,71,0.008,71,-0.0278,49,0.011,66,19.3914,69,0.0,42,0.0,82,66.83,40,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
dlv_avg_attempts,biết sau kỳ,0.0142,67,0.018,63,-0.0004,75,0.0185,57,16.3273,71,0.0,79,0.0,65,67.0,22,—
admin_canceled_line_count,biết sau kỳ,0.0066,75,0.0066,73,0.0038,67,0.0007,82,5.6587,79,0.0,77,0.0,48,72.33,34,bất đồng lớn (≥ 33 bậc) — nghi quan hệ phi tuyến hoặc tương tác
promo_has_free_goods,biết trước kỳ,0.0128,70,0.0128,67,0.041,46,0.0012,79,15.7352,73,0.0,66,0.0,79,72.33,13,—
promo_count,biết trước kỳ,0.0037,79,0.0026,78,0.0814,33,0.0049,75,1.796,80,0.0,53,0.0,73,73.0,27,—
has_promo_data,biết trước kỳ,-0.0121,72,-0.0121,68,,,0.0141,59,14.4273,77,0.0,83,0.0,83,73.67,24,—
promo_has_gift,biết trước kỳ,0.0036,80,0.0036,76,0.0066,64,0.0,83,0.1225,83,0.0,82,0.0,80,80.67,7,—
