truong,dang,loai,khuyet_pct,so_gia_tri_khac_nhau,r2_duong_thang,r2_duong_gap_khuc,do_tuyen_tinh,quan_he,di_cung_nhat
ft_so_don,số,biết trước kỳ,11.681,60,0.0069,0.0027,2.572,không đáng kể — trường này gần như không liên hệ với nhãn,ft_so_dong (1.0)
salesman_id,số,biết sau kỳ,66.168,315,0.0,0.0024,0.006,không đáng kể — trường này gần như không liên hệ với nhãn,—
cach_ngay_giao_tb,số,biết trước kỳ,93.75,475,0.0019,0.0024,0.803,không đáng kể — trường này gần như không liên hệ với nhãn,sla_giao_ngay_tb (-0.2594)
ft_chiet_khau,số,biết trước kỳ,11.681,31909,0.0151,0.0024,6.169,không đáng kể — trường này gần như không liên hệ với nhãn,ft_vat (0.5073)
km_di_chuyen_tb,số,biết trước kỳ,54.89,6893,0.0005,0.0023,0.198,không đáng kể — trường này gần như không liên hệ với nhãn,phut_di_chuyen_tb (0.7726)
ft_doanh_thu_da_giao,số,biết trước kỳ,11.681,20958,0.0099,0.0017,5.776,không đáng kể — trường này gần như không liên hệ với nhãn,ngay_ghe (0.5308)
gia_thuc_thu,số,nhãn viết cách khác,66.187,17036,0.0001,0.0013,0.087,không đáng kể — trường này gần như không liên hệ với nhãn,don_gia_tb (0.8728)
don_gia_tb,số,biết trước kỳ,66.168,4144,0.0,0.0013,0.003,không đáng kể — trường này gần như không liên hệ với nhãn,don_gia_truoc_vat_tb (1.0)
don_gia_truoc_vat_tb,số,biết trước kỳ,66.168,4273,0.0,0.0013,0.003,không đáng kể — trường này gần như không liên hệ với nhãn,don_gia_tb (1.0)
conversion_rate,số,biết trước kỳ,0.475,35,0.0,0.0011,0.015,không đáng kể — trường này gần như không liên hệ với nhãn,qty_per_carton (0.9153)
phut_di_chuyen_tb,số,biết trước kỳ,54.89,9311,0.0,0.0009,0.039,không đáng kể — trường này gần như không liên hệ với nhãn,km_di_chuyen_tb (0.7726)
nvbh_tuyen,số,biết trước kỳ,4.276,75,0.0006,0.0009,0.694,không đáng kể — trường này gần như không liên hệ với nhãn,—
store_key,số,biết trước kỳ,0.0,5342,0.0002,0.0008,0.234,không đáng kể — trường này gần như không liên hệ với nhãn,—
net_weight,số,biết trước kỳ,0.444,146,0.0,0.0004,0.022,không đáng kể — trường này gần như không liên hệ với nhãn,category_code (0.3827)
qty_per_carton,số,biết trước kỳ,0.171,341,0.0,0.0004,0.046,không đáng kể — trường này gần như không liên hệ với nhãn,conversion_rate (0.9153)
product_key,số,biết trước kỳ,0.0,586,0.0001,0.0003,0.258,không đáng kể — trường này gần như không liên hệ với nhãn,—
ngay_ghe,số,biết sau kỳ,0.0,30,0.0001,0.0003,0.366,không đáng kể — trường này gần như không liên hệ với nhãn,ft_doanh_thu_da_giao (0.5308)
ym,số,biết trước kỳ,0.0,16,0.0,0.0002,0.292,không đáng kể — trường này gần như không liên hệ với nhãn,—
thang_tu_lan_mua_dau,số,biết trước kỳ,0.0,16,0.0001,0.0002,0.96,không đáng kể — trường này gần như không liên hệ với nhãn,so_nguon_dat (-0.4888)
kho_phuc_vu,số,biết trước kỳ,0.0,7,0.0,0.0001,0.666,không đáng kể — trường này gần như không liên hệ với nhãn,—
tmax_tb,số,biết trước kỳ,0.085,962,0.0,0.0001,0.276,không đáng kể — trường này gần như không liên hệ với nhãn,tmax_dinh (0.8338)
tmin_tb,số,biết trước kỳ,0.085,972,0.0,0.0001,0.288,không đáng kể — trường này gần như không liên hệ với nhãn,tmax_tb (0.7661)
tmax_dinh,số,biết trước kỳ,0.085,164,0.0,0.0001,0.017,không đáng kể — trường này gần như không liên hệ với nhãn,tmax_tb (0.8338)
shelf_life,số,biết trước kỳ,3.385,11,0.0,0.0,0.873,không đáng kể — trường này gần như không liên hệ với nhãn,category_code (0.3424)
mua_tong,số,biết trước kỳ,0.085,949,0.0,0.0,0.814,không đáng kể — trường này gần như không liên hệ với nhãn,so_ngay_mua (0.7823)
so_ngay_mua,số,biết trước kỳ,0.085,31,0.0,0.0,0.357,không đáng kể — trường này gần như không liên hệ với nhãn,mua_tong (0.7823)
store_code,phân loại,biết trước kỳ,0.0,5342,,,,—,—
product_code,phân loại,biết trước kỳ,0.0,347,,,,—,—
flag_ky_nghi_ngo,số,biết trước kỳ,0.0,2,,,,—,—
flag_che_do_km,phân loại,biết trước kỳ,0.0,2,,,,—,—
qty_ban,số,biết sau kỳ,0.0,1849,,,,—,qty_thung (0.9883)
co_mua,số,biết sau kỳ,0.0,2,,,,—,so_kho_xuat (0.9995)
so_lan_mua,số,nhãn viết cách khác,0.0,30,,,,—,so_kho_con (0.9837)
so_ngay_lich,số,biết trước kỳ,0.0,3,,,,—,so_ngay_lam_viec (0.5259)
so_ngay_lam_viec,số,biết trước kỳ,0.0,4,,,,—,so_ngay_lich (0.5259)
ngay_co_hang,số,biết sau kỳ,0.0,32,,,,—,ngay_theo_doi_ton (0.9989)
ngay_theo_doi_ton,số,biết sau kỳ,0.0,32,,,,—,ngay_co_hang (0.9989)
nguon_ton,phân loại,biết trước kỳ,84.786,2,,,,—,—
co_du_lieu_ton,số,biết trước kỳ,0.0,2,,,,—,ngay_theo_doi_ton (0.996)
ngay_het_hang,số,biết sau kỳ,0.0,20,,,,—,co_du_lieu_ton (0.1449)
ty_le_tuan_thu,số,biết trước kỳ,54.89,91,,,,—,mua_tong (0.2533)
so_nvbh_ghe,số,biết trước kỳ,54.89,6,,,,—,ngay_ghe (0.4994)
co_du_lieu_ghe,số,biết trước kỳ,0.0,2,,,,—,so_tu_dong (0.3197)
store_name,phân loại,biết trước kỳ,0.0,5337,,,,—,—
store_brand_code,phân loại,biết trước kỳ,0.034,35,,,,—,—
account_status,phân loại,biết trước kỳ,0.0,1,,,,—,—
nhom_cua_hang,phân loại,biết trước kỳ,0.0,1,,,,—,—
he_thong,phân loại,biết trước kỳ,0.0,34,,,,—,—
dinh_dang_cua_hang,phân loại,biết trước kỳ,100.0,1,,,,—,—
la_phap_nhan,phân loại,biết trước kỳ,0.0,1,,,,—,—
ma_site,phân loại,biết trước kỳ,0.0,5342,,,,—,—
chuoi,phân loại,biết sau kỳ,69.041,22,,,,—,—
thanh_pho,phân loại,biết trước kỳ,0.0,63,,,,—,—
duong_dia_ly,phân loại,biết trước kỳ,0.0,63,,,,—,—
cap_dia_ly,số,biết trước kỳ,0.0,2,,,,—,—
kenh_code,phân loại,biết trước kỳ,0.0,6,,,,—,—
kenh_ten,phân loại,biết trước kỳ,0.0,6,,,,—,—
tuyen_pjp,phân loại,biết trước kỳ,4.276,103,,,,—,—
so_tu_dong,số,biết trước kỳ,0.0,8,,,,—,co_du_lieu_ghe (0.3197)
dung_tich_tu,phân loại,biết trước kỳ,47.468,13,,,,—,—
product_name,phân loại,biết trước kỳ,0.0,347,,,,—,—
brand_id,phân loại,biết trước kỳ,0.0,95,,,,—,—
category_id,phân loại,biết trước kỳ,0.0,31,,,,—,—
uom,phân loại,biết trước kỳ,0.171,13,,,,—,—
supplier_id,số,biết trước kỳ,0.441,19,,,,—,—
category_code,phân loại,biết trước kỳ,0.0,31,,,,—,—
sub_brand,phân loại,biết trước kỳ,100.0,1,,,,—,—
the_tich,phân loại,biết trước kỳ,100.0,1,,,,—,—
unit_per_pack,phân loại,biết trước kỳ,100.0,1,,,,—,—
mt_price_exc_vat,số,biết trước kỳ,98.957,2,,,,—,—
mt_price_inc_vat,số,biết trước kỳ,98.957,2,,,,—,—
tax_rate,số,biết trước kỳ,6.033,2,,,,—,—
tien_chiet_khau,số,biết sau kỳ,0.0,6747,,,,—,ty_le_chiet_khau (0.9887)
so_dong_hang_tang,số,biết sau kỳ,0.0,30,,,,—,don_gia_do_lech (0.5283)
ck_pct_do_lech_chuan,số,biết sau kỳ,66.168,396,,,,—,tien_ck_truoc_vat (0.2793)
qty_huy,số,biết trước kỳ,0.0,440,,,,—,so_trang_thai_dong (0.2226)
tien_ck_truoc_vat,số,biết trước kỳ,0.0,5336,,,,—,ty_le_chiet_khau (0.5983)
don_gia_do_lech,số,biết trước kỳ,66.168,3007,,,,—,vat_pct_tb (0.6449)
vat_pct_tb,số,biết trước kỳ,66.168,136,,,,—,don_gia_do_lech (0.6449)
so_don,số,biết trước kỳ,0.0,40,,,,—,so_trang_thai_dong (0.9897)
so_kho_xuat,số,biết trước kỳ,0.0,3,,,,—,co_mua (0.9995)
so_kho_con,số,biết trước kỳ,0.0,4,,,,—,so_kho_xuat (0.9993)
so_nguon_dat,số,biết trước kỳ,0.0,3,,,,—,so_loai_don (0.9999)
so_loai_don,số,biết trước kỳ,0.0,4,,,,—,so_nguon_dat (0.9999)
so_trang_thai_dong,số,biết trước kỳ,0.0,5,,,,—,so_nguon_dat (0.9962)
so_dong_admin_huy,số,biết trước kỳ,0.0,2,,,,—,qty_huy (0.0309)
so_dong_eco,số,biết trước kỳ,0.0,52,,,,—,qty_giao (0.9739)
ton_kho_tb,phân loại,biết sau kỳ,100.0,1,,,,—,—
nhap_thang,phân loại,biết sau kỳ,100.0,1,,,,—,—
xuat_thang,phân loại,biết sau kỳ,100.0,1,,,,—,—
gh_so_dong,số,biết trước kỳ,95.409,66,,,,—,gh_so_shipper (0.6399)
gh_so_lan_thu_tb,số,biết trước kỳ,95.409,34,,,,—,gh_so_shipper (0.1802)
gh_so_shipper,số,biết trước kỳ,95.409,24,,,,—,gh_so_dong (0.6399)
gh_dong_kho_xac_nhan,số,biết trước kỳ,95.409,49,,,,—,gh_so_dong (0.3377)
gd_so_dong,phân loại,biết trước kỳ,100.0,1,,,,—,—
gd_so_luong,phân loại,biết trước kỳ,100.0,1,,,,—,—
gd_gia_tri,phân loại,biết trước kỳ,100.0,1,,,,—,—
gd_don_gia_tb,phân loại,biết trước kỳ,100.0,1,,,,—,—
gd_so_loai,phân loại,biết trước kỳ,100.0,1,,,,—,—
so_ctkm,phân loại,biết trước kỳ,100.0,1,,,,—,—
co_che_km,phân loại,biết trước kỳ,100.0,1,,,,—,—
ns_cap,phân loại,biết trước kỳ,100.0,1,,,,—,—
ns_dung,phân loại,biết sau kỳ,100.0,1,,,,—,—
foc_ctn_ke_hoach,phân loại,biết trước kỳ,100.0,1,,,,—,—
km_bat_dau,phân loại,biết trước kỳ,100.0,1,,,,—,—
km_ket_thuc,phân loại,biết trước kỳ,100.0,1,,,,—,—
co_du_lieu_km,số,biết trước kỳ,0.0,1,,,,—,—
