truong,quyet_dinh,quy_tac,can_cu,loai,khuyet_pct,thong_tin_bit,do_tuyen_tinh,vi_sao
inv_item_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.1288,5.052,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_received_qty,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.1269,6.321,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_ordered_qty,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.125,6.079,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_shipped_qty,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.1181,5.904,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_line_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.0909,2.524,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
inv_order_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,11.822,0.0907,2.524,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
canceled_qty,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0673,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
avg_days_to_delivery,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,93.733,0.0589,0.767,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
free_line_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0573,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
avg_work_minutes,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,57.136,0.0371,1.139,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_line_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.0359,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
avg_travel_km,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,55.798,0.0297,0.191,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
avg_travel_minutes,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,55.798,0.0282,0.032,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
visit_days,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0161,0.367,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_shipper_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.0131,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
has_visit_data,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0118,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
avg_delivery_sla_days,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,99.183,0.0078,0.002,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
in_stock_days,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0067,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
stock_tracked_days,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0049,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
stock_source,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,84.525,0.0049,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_warehouse_confirmed_lines,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.0046,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
has_stock_data,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0038,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
visit_compliance_rate,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,55.798,0.0016,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
visiting_rep_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,55.798,0.0008,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
stockout_days,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
admin_canceled_line_count,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,0.0,0.0,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
dlv_avg_attempts,CHUYỂN THÀNH LAG,R3,biết sau kỳ,biết sau kỳ,95.043,0.0,,"Chỉ biết sau khi tháng đã xảy ra, nên không có sẵn lúc dự báo M+1…M+3. Dùng được nhưng phải chuyển thành giá trị của kỳ trước."
net_revenue,BỎ,R1,nhãn viết cách khác,nhãn viết cách khác,0.0,1.4404,4.858,"Cùng một đại lượng với nhãn, viết cách khác. Tương quan cao là hiển nhiên, không phải tín hiệu; đưa vào là mô hình học chép lại đáp án."
qty_per_purchase,BỎ,R1,nhãn viết cách khác,nhãn viết cách khác,65.516,1.1903,63.198,"Cùng một đại lượng với nhãn, viết cách khác. Tương quan cao là hiển nhiên, không phải tín hiệu; đưa vào là mô hình học chép lại đáp án."
effective_unit_price,BỎ,R1,nhãn viết cách khác,nhãn viết cách khác,65.534,1.024,0.082,"Cùng một đại lượng với nhãn, viết cách khác. Tương quan cao là hiển nhiên, không phải tín hiệu; đưa vào là mô hình học chép lại đáp án."
avg_unit_price,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.9532,0.002,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
avg_unit_price_excl_vat,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.9515,0.002,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
purchase_count,BỎ,R1,nhãn viết cách khác,nhãn viết cách khác,0.0,0.73,,"Cùng một đại lượng với nhãn, viết cách khác. Tương quan cao là hiển nhiên, không phải tín hiệu; đưa vào là mô hình học chép lại đáp án."
salesman_id,BỎ,R2,TÁCH HOÀN HẢO,định danh,65.516,0.6774,0.0,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
last_purchase_day,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.6112,0.377,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
first_purchase_day,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.6027,0.348,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
discount_rate,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.612,0.5064,0.014,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
conversion_rate,BỎ,R5,trùng với qty_per_carton,biết trước kỳ,0.004,0.2288,0.035,"Trùng lặp gần như hoàn toàn với một đặc trưng khác (|ρ| ≥ 0,8). Giữ cả hai làm hệ số hồi quy không đọc được và chia đôi mức quan trọng."
unit_price_stddev,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.1905,,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
adjusted_sales_rate,BỎ,R1,nhãn viết cách khác,nhãn viết cách khác,84.546,0.1863,27.978,"Cùng một đại lượng với nhãn, viết cách khác. Tương quan cao là hiển nhiên, không phải tín hiệu; đưa vào là mô hình học chép lại đáp án."
promo_max_discount_pct,BỎ,R5,trùng với promo_day_weighted_discount_pct,biết trước kỳ,41.715,0.1166,0.161,"Trùng lặp gần như hoàn toàn với một đặc trưng khác (|ρ| ≥ 0,8). Giữ cả hai làm hệ số hồi quy không đọc được và chia đôi mức quan trọng."
avg_vat_rate,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.082,,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
promo_days,BỎ,R5,trùng với promo_day_ratio,biết trước kỳ,0.501,0.0636,0.341,"Trùng lặp gần như hoàn toàn với một đặc trưng khác (|ρ| ≥ 0,8). Giữ cả hai làm hệ số hồi quy không đọc được và chia đôi mức quan trọng."
peak_tmax,BỎ,R5,trùng với avg_tmax,biết trước kỳ,0.094,0.0558,0.022,"Trùng lặp gần như hoàn toàn với một đặc trưng khác (|ρ| ≥ 0,8). Giữ cả hai làm hệ số hồi quy không đọc được và chia đôi mức quan trọng."
supervisor_id,BỎ,R2b,định danh,định danh,96.861,0.0392,0.116,"Vừa là khoá định danh, vừa chỉ tồn tại khi tháng đó có đơn hàng — nó lấy từ chính dòng đơn. Không có nghĩa làm đặc trưng và cũng không lag được."
asm_id,BỎ,R2b,định danh,định danh,97.428,0.0293,0.026,"Vừa là khoá định danh, vừa chỉ tồn tại khi tháng đó có đơn hàng — nó lấy từ chính dòng đơn. Không có nghĩa làm đặc trưng và cũng không lag được."
discount_pct_stddev,BỎ,R2,TÁCH HOÀN HẢO,biết sau kỳ,65.516,0.0268,,Riêng việc cột này khuyết hay không đã tách được nhãn. Mô hình sẽ học mặt nạ khuyết thiếu chứ không học nhu cầu.
